signal_date,gpi_fast20,gpi_mid63,gpi_acc,ipi_fast20,ipi_mid63,ipi_acc
2007-01-31,0.41822081,-0.21381968,0.63204049,-0.42578173,0.14408648,-0.5698682
2007-02-28,0.31857618,-0.24916056,0.56773674,3.21716574,0.84563615,2.37152959
2007-03-30,0.21519518,0.15876518,0.05642999,0.80147861,0.80524648,-0.00376787
2007-04-30,-0.22794123,0.04373036,-0.27167159,0.59330663,1.34185587,-0.74854924
2007-05-31,0.03096369,0.14344566,-0.11248198,-0.40930643,0.1852232,-0.59452963
2007-06-29,0.49670683,0.29931131,0.19739552,0.04405288,0.01961245,0.02444044
2007-07-31,-1.65414773,-0.15600271,-1.49814502,0.23398004,-0.00456036,0.2385404
2007-08-31,0.02607829,-0.58938711,0.6154654,-0.77647362,-0.37918096,-0.39729265
2007-09-28,-0.2010234,-0.88824706,0.68722366,2.61303327,0.5885293,2.02450397
2007-10-31,-1.02162316,-0.4387354,-0.58288776,1.40681871,0.63496972,0.77184898
2007-11-30,-0.49464665,-0.59134699,0.09670034,-1.18831865,0.63954454,-1.8278632
2007-12-31,0.54738778,-0.29901899,0.84640677,0.10883698,-0.07684635,0.18568333
2008-01-31,-0.90155238,-0.57570534,-0.32584704,-1.35305299,-0.47623522,-0.87681777
2008-02-29,-0.07968951,-0.62345015,0.54376064,0.81052486,-0.30145377,1.11197863
2008-03-31,0.74665452,-0.10521484,0.85186936,-1.05080826,-0.27739139,-0.77341687
2008-04-30,-0.3081512,-0.03786374,-0.27028746,-0.54205347,-0.21455037,-0.3275031
2008-05-30,-0.15765591,0.25552417,-0.41318008,0.94431499,0.62398244,0.32033255
2008-06-30,-1.31971605,-0.52456477,-0.79515128,1.43453228,0.63915774,0.79537454
2008-07-31,0.12516112,-0.62873255,0.75389367,-0.37778095,0.44810071,-0.82588166
2008-08-29,0.10936373,0.0330374,0.07632633,-1.25440515,-0.32999436,-0.92441079
2008-09-30,-2.15351033,-0.82702357,-1.32648676,-0.67250916,-0.81873015,0.14622099
2008-10-31,-0.77454591,-1.23307243,0.45852652,-1.90815366,-1.21467314,-0.69348052
2008-11-28,-0.07064311,-0.51867015,0.44802704,-1.03598682,-1.04805205,0.01206523
2008-12-31,1.67882613,0.08294562,1.59588051,-2.84083685,-2.44038895,-0.4004479
2009-01-30,-0.42368285,0.31173037,-0.73541322,-0.73916911,-1.77085994,1.03169083
