date,GPI,IPI,FCPI,regime_id
2007-01-04,-15.07416265,-36.66648275,-22.30329401,7
2007-05-30,2.42684238,0.28291890,-26.79502690,5
2007-10-19,-37.71926535,41.54910488,-2.38879082,9
2008-03-14,-20.70036074,76.17885839,6.60908328,9
2008-08-06,17.21828813,-28.32096809,13.11803892,1
2008-12-29,-46.52846511,-69.12786775,21.47470127,7
2009-05-22,19.47352886,13.01978817,-26.18920082,3
2009-10-14,39.90240827,30.26159896,-42.44367606,3
2010-03-10,50.99794955,21.66360550,-15.07167414,3
2010-08-02,5.43166264,-8.11906067,-13.67186059,5
2010-12-22,59.55488845,62.01139140,-11.96516635,3
2011-05-17,-6.03794225,8.51187753,-22.20646665,5
2011-10-07,-64.28178083,-56.84553754,62.46922326,7
2012-03-02,9.87772031,38.40785119,-27.47526301,6
2012-07-25,-32.66381406,-0.81338377,-5.89740648,8
2012-12-18,31.08672212,-5.22935838,-30.30067585,2
2013-05-14,40.99186788,-22.92927500,-13.52821345,1
2013-10-04,55.00110784,-18.69831724,-4.70790975,1
2014-02-28,19.40178416,24.75443762,-25.72335185,3
2014-07-23,-16.05467213,-11.78346097,7.94129135,7
2014-12-12,-27.22155134,-84.08161468,60.01132391,7
2015-05-08,21.98268111,7.74803080,3.12315678,2
2015-09-30,-37.08612549,-51.78331623,46.10538416,7
2016-02-24,-52.64023392,-39.46736037,25.79638686,7
2016-07-18,0.85312791,9.32769288,-22.47720697,5
2016-12-07,80.88298679,53.12962321,2.30165204,3
2017-05-03,3.79038584,-27.09131041,-15.22823987,4
2017-09-25,13.79874256,33.34580813,-26.36858694,3
2018-02-16,13.54486195,48.97374163,4.79339322,3
2018-07-12,-11.54171014,-1.74015404,19.27698112,8
2018-12-03,-34.50885791,-71.28553967,47.20198547,7
2019-04-30,-9.35758332,13.16491861,-14.36646191,6
2019-09-20,-19.67917795,-12.07330301,4.15619959,7
2020-02-13,-37.55621377,-43.89051706,-0.21949755,7
2020-07-08,5.19300698,11.74758685,-19.60540283,6
2020-11-27,54.63317686,23.41310066,-28.21685740,3
2021-04-23,28.85910171,43.08560412,-15.74031786,3
2021-09-15,-5.95536384,15.80703597,-5.42320156,6
2022-02-07,-31.78505773,33.81906915,40.56063103,9
2022-07-01,-41.54018886,-17.14991746,69.85859198,7
2022-11-22,10.33806479,-26.96753737,-9.25619623,1
2023-04-19,-31.13266265,-4.09513753,-19.69024593,8
2023-09-12,-5.76717197,44.07229194,-16.40192600,6
2024-02-05,-4.18873761,-41.91060360,-25.16236083,4
2024-06-28,-34.95239734,-16.85094683,-4.44293856,7
2024-11-19,4.00784251,5.74337214,-9.93320037,5
2025-04-16,-45.41675967,-55.85864445,35.28831800,7
2025-09-10,-7.90400196,6.22980922,-20.65476437,5
2026-02-03,24.49088713,41.88653157,-19.98098825,3
2026-06-29,35.93246679,-37.65930105,13.82664983,1
2026-08-14,25.98371060,-2.20521322,-8.51808037,2
