stage,stage_name,exit_age_bucket,to_stage,to_name,markets,n_total,equal_market_probability
1,Accumulation,age0_9,0,Unclassified,9,12,0.04225558892225559
1,Accumulation,age0_9,2,Markup,9,96,0.39224986891653557
1,Accumulation,age0_9,3,Reaccumulation,9,1,0.007936507936507936
1,Accumulation,age0_9,5,Markdown,9,140,0.557558034224701
1,Accumulation,age10_19,0,Unclassified,9,7,0.07741147741147741
1,Accumulation,age10_19,2,Markup,9,34,0.41216561216561215
1,Accumulation,age10_19,5,Markdown,9,48,0.5104229104229103
1,Accumulation,age20_39,0,Unclassified,9,4,0.04603174603174603
1,Accumulation,age20_39,2,Markup,9,24,0.3097883597883598
1,Accumulation,age20_39,5,Markdown,9,42,0.6441798941798942
1,Accumulation,age40p,0,Unclassified,8,2,0.125
1,Accumulation,age40p,2,Markup,8,11,0.6666666666666666
1,Accumulation,age40p,5,Markdown,8,4,0.20833333333333331
2,Markup,age0_9,0,Unclassified,9,29,0.1407936507936508
2,Markup,age0_9,1,Accumulation,9,50,0.22581128747795415
2,Markup,age0_9,3,Reaccumulation,9,2,0.010030864197530864
2,Markup,age0_9,4,Distribution,9,51,0.24451940035273367
2,Markup,age0_9,5,Markdown,9,78,0.3788447971781305
2,Markup,age10_19,0,Unclassified,9,29,0.19975544016464733
2,Markup,age10_19,1,Accumulation,9,17,0.10448438634713145
2,Markup,age10_19,3,Reaccumulation,9,2,0.011165577342047931
2,Markup,age10_19,4,Distribution,9,39,0.24483503692796107
2,Markup,age10_19,5,Markdown,9,64,0.43975955921821225
2,Markup,age20_39,0,Unclassified,9,29,0.1727890833446389
2,Markup,age20_39,1,Accumulation,9,1,0.004273504273504274
2,Markup,age20_39,3,Reaccumulation,9,1,0.004115226337448559
2,Markup,age20_39,4,Distribution,9,82,0.45680233346900007
2,Markup,age20_39,5,Markdown,9,71,0.35757540813096367
2,Markup,age20_39,6,Redistribution,9,1,0.0044444444444444444
2,Markup,age40p,0,Unclassified,9,26,0.09857106289854828
2,Markup,age40p,1,Accumulation,9,2,0.009022556390977442
2,Markup,age40p,3,Reaccumulation,9,1,0.005291005291005291
2,Markup,age40p,4,Distribution,9,142,0.5413884036691053
2,Markup,age40p,5,Markdown,9,89,0.34572697175036354
3,Reaccumulation,age0_9,0,Unclassified,8,2,0.125
3,Reaccumulation,age0_9,2,Markup,8,12,0.8125
3,Reaccumulation,age0_9,4,Distribution,8,1,0.0625
3,Reaccumulation,age10_19,0,Unclassified,4,2,0.375
3,Reaccumulation,age10_19,2,Markup,4,3,0.625
4,Distribution,age0_9,0,Unclassified,9,3,0.015811132770197096
4,Distribution,age0_9,2,Markup,9,121,0.6145976924055699
4,Distribution,age0_9,3,Reaccumulation,9,1,0.0032679738562091504
4,Distribution,age0_9,5,Markdown,9,87,0.3663232009680238
4,Distribution,age10_19,0,Unclassified,9,5,0.059355459355459356
4,Distribution,age10_19,2,Markup,9,56,0.4991596366596367
4,Distribution,age10_19,5,Markdown,9,50,0.441484903984904
4,Distribution,age20_39,0,Unclassified,9,2,0.04365079365079365
4,Distribution,age20_39,2,Markup,9,38,0.5527176527176527
4,Distribution,age20_39,3,Reaccumulation,9,1,0.010101010101010102
4,Distribution,age20_39,5,Markdown,9,26,0.39353054353054356
4,Distribution,age40p,2,Markup,8,11,0.55
4,Distribution,age40p,5,Markdown,8,11,0.45
5,Markdown,age0_9,0,Unclassified,9,15,0.11662841831213527
5,Markdown,age0_9,1,Accumulation,9,43,0.20856473784587526
5,Markdown,age0_9,2,Markup,9,69,0.3573157877485078
5,Markdown,age0_9,4,Distribution,9,58,0.3113182165873088
5,Markdown,age0_9,6,Redistribution,9,1,0.006172839506172839
5,Markdown,age10_19,0,Unclassified,9,23,0.1577309545272932
5,Markdown,age10_19,1,Accumulation,9,43,0.28501428509056276
5,Markdown,age10_19,2,Markup,9,59,0.4503521649974739
5,Markdown,age10_19,3,Reaccumulation,9,2,0.01113895850737956
5,Markdown,age10_19,4,Distribution,9,15,0.09576363687729057
5,Markdown,age20_39,0,Unclassified,9,28,0.12647588877025093
5,Markdown,age20_39,1,Accumulation,9,93,0.4357986301806921
5,Markdown,age20_39,2,Markup,9,93,0.42110166576371716
5,Markdown,age20_39,3,Reaccumulation,9,3,0.016623815285339787
5,Markdown,age40p,0,Unclassified,9,28,0.09282483061080149
5,Markdown,age40p,1,Accumulation,9,158,0.6016839757268005
5,Markdown,age40p,2,Markup,9,84,0.29303067112435616
5,Markdown,age40p,3,Reaccumulation,9,3,0.012460522538041918
6,Redistribution,age0_9,5,Markdown,2,2,1.0
6,Redistribution,age10_19,1,Accumulation,1,1,1.0
