stage,stage_name,step,markets,n_total,equal_market_mean_norm1,equal_market_median_norm1,equal_market_positive_rate,equal_market_q10_norm1,equal_market_q90_norm1,markets_mean_positive,markets_mean_negative
1,Accumulation,exit,9,425,-0.012909945513589441,-0.10712722752777777,0.4489916306204235,-1.3621878449344444,1.4589993619100001,5,4
1,Accumulation,stay,9,5084,0.003912235117150006,-0.015957666055555556,0.4773338830842152,-1.0414164377011113,1.0736108489611114,4,5
2,Markup,exit,9,807,-0.37014002204804736,-0.06235361585,0.4345205125500044,-1.1654112265899998,0.7096943391244446,0,9
2,Markup,stay,9,25703,0.01062252655878201,0.0030929357555555554,0.4897243650197443,-1.0593038556444445,1.0847789813911113,7,2
3,Reaccumulation,exit,8,20,0.20239804264375,0.18760094488749995,0.46875,-0.29537008754625,0.69066376604375,4,4
3,Reaccumulation,stay,8,104,0.054128407159428876,-0.009257775218749993,0.504695197044335,-0.60321474853375,0.7949004245612501,5,3
4,Distribution,exit,9,412,0.010903511232714342,0.025246110022222226,0.5255144120447334,-1.2665726350222224,1.192495557536667,4,5
4,Distribution,stay,9,5257,-0.013251608907574848,0.008590100861111111,0.48829812078842916,-1.0518496739244445,1.0098321495100002,5,4
5,Markdown,exit,9,818,0.23975348975200983,0.08586807842222222,0.5331017410500992,-0.74271747261,1.2650286303400005,8,1
5,Markdown,stay,9,29458,-0.03299694221712036,-0.014061512894444446,0.47129841630981495,-1.169884289191111,1.0995673823566667,0,9
6,Redistribution,exit,3,3,-0.15434906786666666,-0.15434906786666666,0.3333333333333333,-0.15434906786666666,-0.15434906786666666,1,2
6,Redistribution,stay,2,18,-0.17638987705,-0.24789479885000001,0.3307692307692308,-0.80196114283,0.47635520511000007,1,1
