stage,stage_name,current_age,additional_horizon,markets,episodes_at_risk_total,survivor_episodes_total,equal_market_probability_remain_same,equal_market_median_survivor_move_current_atr,equal_market_mean_survivor_move_current_atr,equal_market_survivor_positive_rate,markets_survivor_median_positive,markets_survivor_median_negative
1,Accumulation,0,5,9,426,298,0.6876078279857911,0.22212151778516537,0.1959821804601092,0.5456524655071618,6,3
1,Accumulation,0,10,9,426,177,0.4115752590176937,0.07923824768705255,0.4532206175622186,0.543775036896479,6,3
1,Accumulation,0,20,9,425,87,0.19531816053815793,-0.046455261726315894,0.5475984211370313,0.4822140822140822,5,4
1,Accumulation,5,5,9,298,177,0.6036284217809905,0.1018530859240517,0.15848678913870892,0.5065256568577251,4,5
1,Accumulation,5,10,9,297,125,0.42297978444319906,0.06573050370192161,0.3795814506670467,0.5156029400488054,4,5
1,Accumulation,5,20,9,297,61,0.1960307074577962,0.4873345104367128,0.4999179359044727,0.5608024691358025,6,3
1,Accumulation,10,5,9,176,125,0.706842037890425,0.03450400012503325,0.033827540110378335,0.4964241735341479,6,3
1,Accumulation,10,10,9,176,87,0.4775452295613586,-0.4001187338958598,-0.3298458415115026,0.47298873965540633,5,4
1,Accumulation,10,20,9,176,38,0.2061721283495477,0.1326753672747344,0.20461002002722514,0.487037037037037,5,4
1,Accumulation,20,5,9,87,61,0.6922669922669923,0.08642048815346486,0.1843607327099332,0.595679012345679,6,3
1,Accumulation,20,10,9,87,38,0.43850223850223846,-0.19060933855261447,0.1438021578021793,0.46111111111111114,4,5
1,Accumulation,20,20,8,84,17,0.20366300366300366,0.3628302106170728,0.18486812921987475,0.6041666666666666,6,2
1,Accumulation,40,5,7,16,13,0.9047619047619048,0.7856619835175881,0.696672763609122,0.6785714285714286,5,2
1,Accumulation,40,10,4,7,4,0.7083333333333334,0.08090247843990661,0.08090247843990661,0.5,2,2
2,Markup,0,5,9,813,739,0.9101430861275605,0.0047503187343989235,0.05302340138632559,0.5000412700349014,4,5
2,Markup,0,10,9,813,603,0.7484129097342838,0.5814237904917896,0.7238476133256138,0.5830493013183293,9,0
2,Markup,0,20,9,809,448,0.5572014211094626,1.8996807773244155,2.2012154156679378,0.722533731535782,9,0
2,Markup,5,5,9,739,603,0.8222077073138695,0.15448085085393895,0.24398299480315055,0.5282097181071107,7,2
2,Markup,5,10,9,739,524,0.7115102049173803,0.5259899238181048,0.7223330232361709,0.5612110660155488,8,1
2,Markup,5,20,9,734,383,0.5227651376510906,1.5073041451859106,2.041987496897823,0.7002974876665257,9,0
2,Markup,10,5,9,603,524,0.8667620714988766,0.052529119258419125,0.2593169637331758,0.522918724564874,6,3
2,Markup,10,10,9,599,448,0.7465761824367023,0.4561972710084109,0.7830508972878366,0.5906149679131759,9,0
2,Markup,10,20,9,597,334,0.5579349691008914,1.609057950700982,2.0251667766108477,0.7064929766612796,9,0
2,Markup,20,5,9,447,383,0.8552429666692989,0.08351874322932751,0.12187885543207669,0.528121181742594,7,2
2,Markup,20,10,9,446,334,0.7489272246046805,0.37672988580468403,0.5422670990600809,0.5943936743251981,8,1
