stage,stage_name,min_spell_length,markets,n_total,equal_market_median_terminal_entry_atr,equal_market_mean_terminal_entry_atr,equal_market_positive_terminal_rate,equal_market_median_mfe_entry_atr,equal_market_median_mae_entry_atr,equal_market_median_positive_peak_giveback_atr,equal_market_median_negative_trough_rebound_atr,markets_terminal_median_positive,markets_terminal_median_negative
1,Accumulation,1,9,425,-0.21033648659904916,0.06807550665202736,0.4655885043634209,1.544563092274542,-1.2541661229199361,1.2878259417519555,0.9127018445093715,2,6
1,Accumulation,10,9,197,-0.36829628773747497,0.19326959136224417,0.5064276445350614,2.3040308982801343,-2.00595139580217,2.560774388634192,1.5867636220005832,3,6
1,Accumulation,20,9,95,-0.4078029052183254,0.5376993894332668,0.5177271883412234,2.7489350545684648,-2.0862468438871016,2.5687046860492746,1.9220236761743736,3,6
1,Accumulation,40,8,17,1.7238040223384172,1.6365899451151684,0.8541666666666666,3.0457739696120445,-1.5160739196297224,0.9138794929319023,3.2957942932372104,8,0
2,Markup,1,9,806,-0.9251816073761316,0.4135002900667309,0.3597779436116904,2.3378919660826796,-2.1091674438725345,3.6777485910086907,0.9471795551708588,0,9
2,Markup,10,9,615,-0.3703294306463372,1.0842569115607803,0.43553915906746293,3.5576966507652497,-2.1205915105668485,4.241798336919432,1.3820711954734557,1,8
2,Markup,20,9,455,0.6774029634689387,2.3491073706666423,0.5496344137272712,4.981845376444261,-1.6448264395728651,4.461535659567515,2.2693110802500707,8,1
2,Markup,40,9,274,2.655947833708617,4.923940869833667,0.7647711654958032,7.327346299290825,-1.213806091902196,4.689983827975616,3.871520788589495,9,0
2,Markup,60,9,115,7.130810602477102,9.009035309699817,0.9215958605664488,11.730272904253244,-1.1664229836260303,5.130688437316696,8.266830142886114,9,0
3,Reaccumulation,1,8,20,0.06504638459823489,0.20837135756140102,0.3020833333333333,0.7544825493610315,-0.8449512380688812,0.555399515402236,1.0015193152161246,3,4
3,Reaccumulation,10,4,5,0.034381321446758234,0.034381321446758234,0.25,1.19032757036578,-1.695434329697308,1.1559462489190218,1.7298156511440663,1,3
4,Distribution,1,9,412,0.17938116365724013,-0.1419222398956905,0.5222641627492863,1.3091564851367172,-1.3379065158095953,0.974742013279966,1.2320459787906506,6,3
4,Distribution,10,9,215,-0.18574110458545634,-0.3570907729335054,0.5217887422895912,1.6975991864596238,-2.115283525334092,1.7856352081300193,2.072216326728492,5,4
4,Distribution,20,9,97,0.2792955199246256,-0.4328982587550132,0.5485690235690236,1.818935772638974,-2.8912250400823103,2.120936273584658,2.415145585989183,6,3
4,Distribution,40,9,23,-0.8598285308947936,-1.2999756217782599,0.4703703703703704,1.7356737488011913,-4.054094368136074,3.2977260975214193,2.4231344621958026,4,5
4,Distribution,60,2,2,-5.226126712452299,-5.226126712452299,0.0,0.1737535651257311,-7.2332050770127445,5.3998802775780295,2.0070783645604457,0,2
5,Markdown,1,9,818,0.8240936537634127,-1.2388484577365724,0.6082985545098825,1.98280982732022,-2.5343303487751583,1.0600947935027092,3.9380390859137444,9,0
5,Markdown,10,9,652,0.3217813998140774,-1.9911795310511846,0.5430544975224776,1.9839130257629785,-3.679695587509532,1.4372706242984254,4.42848457999224,7,2
5,Markdown,20,9,505,-0.9170521073669663,-3.3608515877939484,0.43185433934484996,1.6614611306320013,-5.299708177930381,2.44795651738512,4.75484669372305,1,8
5,Markdown,40,9,275,-4.989355487799561,-7.436226143537472,0.17012977236554472,1.1859131995607342,-10.569737750958613,6.103694145129791,5.292452093047003,0,9
5,Markdown,60,9,165,-8.631925334760979,-11.069813645340863,0.020734409623298512,1.1687604452273233,-14.28604006476965,10.113975324703617,5.620320577179022,0,9
6,Redistribution,1,3,3,-0.5564184066791087,-0.5564184066791087,0.3333333333333333,0.9214907706075305,-0.8940185241389288,1.477909177286639,0.33760011745982005,1,1
6,Redistribution,10,1,1,0.05143204301065234,0.05143204301065234,1.0,2.7644723118225913,-0.5271784408591919,2.713040268811939,0.5786104838698441,1,0
