variant,stage,stage_name,layer,age_bucket,horizon,markets,n_total,fx_markets,rates_markets,equal_market_mean,equal_market_lift_mean,equal_market_median,equal_market_lift_median,equal_market_positive_rate,equal_market_lift_positive_rate,equal_market_q10,equal_market_lift_q10,equal_market_q90,equal_market_lift_q90,equal_market_mfe,equal_market_lift_mfe,equal_market_mae,equal_market_lift_mae,equal_market_future_rv,equal_market_lift_future_rv,cross_market_median_of_market_medians,cross_market_median_lift_median,markets_conditional_median_positive,markets_conditional_median_negative,markets_lift_median_positive,markets_lift_median_negative,markets_lift_mean_positive,markets_lift_mean_negative,loo_equal_market_lift_median_positive,loo_equal_market_lift_median_negative
primary,1,Accumulation,age,age0,1,9,426,3,6,-0.0285146829,-0.0167278211,-0.0395831514,-0.0393298242,0.46120767,-0.019689925,-1.08584588,0.0254081644,1.06900791,-0.0201885535,0.474393392,-0.0109038714,-0.526896738,-0.00822759734,0.508133138,0.00515051117,-0.0706382,-0.0638066,3,6,3,6,4,5,0,9
primary,1,Accumulation,age,age0,5,9,426,3,6,0.0229211278,0.0799613631,0.0504607956,0.102230281,0.51492042,0.0272695484,-2.46946994,0.108393075,2.50870287,-0.0109491411,1.45144177,0.0547567817,-1.44398463,0.0788593477,0.614935908,0.0106914216,0.0747449,0.1029397,5,4,7,2,6,3,9,0
primary,1,Accumulation,age,age0,10,9,426,3,6,0.0293912287,0.140688435,-0.110528623,-0.00745777178,0.490106819,0.00464569543,-3.58140641,0.154847763,3.88012513,0.287862098,2.02279193,0.107388395,-2.01859052,0.0562654012,0.628439156,-0.000540697575,-0.143032,-0.0138028,3,6,4,5,6,3,4,5
primary,1,Accumulation,age,age0,20,9,426,3,6,-0.0895798421,0.130339136,-0.0866376606,0.12214055,0.494306026,0.0124625879,-5.38218636,0.120598421,4.9343236,-0.237167264,2.92043429,0.12840524,-2.7623374,0.186650136,0.64295019,-0.006511167,-0.108856,-0.0229054,4,5,5,4,5,4,7,2
primary,1,Accumulation,age,age10_19,1,9,1328,3,6,-0.000889643226,0.0108972186,-0.0252925911,-0.0250392639,0.47590273,-0.004994865,-1.05083718,0.0604168639,1.05936335,-0.0298331173,0.477576244,-0.00772101923,-0.501309606,0.0173595348,0.527053707,0.0240710804,-0.0296292,-0.0267579,2,7,2,7,5,4,0,9
primary,1,Accumulation,age,age10_19,5,9,1328,3,6,-0.137568644,-0.0805289405,-0.238088706,-0.186319908,0.458642011,-0.0290088605,-2.54739393,0.0304690873,2.5329879,0.0133360799,1.3993814,0.00269641402,-1.51450108,0.0083428959,0.599529166,-0.00318750024,-0.257513,-0.164503,2,7,2,7,4,5,0,9
primary,1,Accumulation,age,age10_19,10,9,1328,3,6,-0.226949914,-0.115653362,-0.218065295,-0.114994414,0.488881159,0.00342003613,-3.97752205,-0.241267874,3.28298489,-0.309277236,1.95726127,0.0418577374,-2.11558309,-0.0367272867,0.628737801,-0.00024205282,-0.168942,-0.0997823,4,5,4,5,3,6,1,8
primary,1,Accumulation,age,age10_19,20,9,1328,3,6,-0.359131749,-0.139213842,-0.416120968,-0.207340599,0.460128983,-0.0217144542,-5.77606458,-0.273281226,5.44050389,0.269013271,2.79927977,0.00725072306,-2.99505946,0.0446132898,0.647559918,-0.00190143942,-0.370515,-0.234012,3,6,4,5,4,5,1,8
primary,1,Accumulation,age,age1_4,1,9,1480,3,6,-0.00534307825,0.00644378354,0.00101996515,0.00127329205,0.483273977,0.00237638201,-1.05451214,0.0567419029,1.07965647,-0.00954000384,0.485562647,0.000265385434,-0.508650901,0.0100182389,0.526244357,0.0232617301,0,0,4,4,4,5,4,5,5,4
primary,1,Accumulation,age,age1_4,5,9,1480,3,6,-0.0227886803,0.0342519907,-0.0539800699,-0.00221127165,0.488989801,0.00133892903,-2.57965646,-0.00179286594,2.60299474,0.0833429255,1.46704666,0.0703616812,-1.42716435,0.0961796267,0.615539009,0.0112945226,-0.0202235,-0.0012517,4,5,5,4,5,4,6,3
primary,1,Accumulation,age,age1_4,10,9,1480,3,6,-0.0825410312,0.0287565216,-0.0819061108,0.0211647713,0.481470637,-0.00399048589,-3.78411586,-0.0478616808,3.60326282,0.0110000684,2.02737616,0.112153634,-2.00688991,0.0719658894,0.633487163,0.00450730985,0.0529356,0.127552,5,4,5,4,6,3,6,3
primary,1,Accumulation,age,age1_4,20,9,1480,3,6,-0.207161448,0.012756529,-0.252511367,-0.0437309971,0.47955695,-0.00228648703,-5.82197077,-0.319186737,4.99249567,-0.178993947,2.84119373,0.0491646794,-2.90629419,0.133378561,0.653146163,0.00368480528,-0.199344,-0.0943478,2,7,4,5,4,5,4,5
primary,1,Accumulation,age,age20p,1,9,1043,3,6,-0.028650182, -0.0168633202,-0.0289642341,-0.0287109072,0.458121331,-0.0227762639,-1.06473006,0.0465240156,1.02787491,-0.0613215597,0.465987426,-0.0193098379,-0.510532034,0.00813710562,0.489137814,-0.0138448125,-0.029972,-0.0289891,1,8,2,7,3,6,0,9
