scope,dimension,checkpoint,progress_q,eff_q,markets,pooled_n,future_net_atr_eq_market_mean,future_net_atr_eq_market_median,future_mfe_atr_eq_market_mean,future_mfe_atr_eq_market_median,future_mae_atr_eq_market_mean,future_mae_atr_eq_market_median,future_plus2_eq_market_mean,future_plus2_eq_market_median,future_plus4_eq_market_mean,future_plus4_eq_market_median,remaining_bars_eq_market_mean,remaining_bars_eq_market_median
all,progress,5,1.0,,9,296,0.272962643754166,0.274915972553955,2.8693383558564514,2.310357783267399,1.358167894746627,1.082315040361962,0.3252721097507281,0.3333333333333333,0.22543623533617377,0.21428571428571427,18.29757321514629,17.8
all,progress,5,2.0,,9,292,0.49845812714335966,0.2013543279261258,3.989008813317407,3.0122217121351653,1.8868043107894098,1.6521752738402189,0.39889575595296275,0.4,0.22819482588035595,0.2222222222222222,26.65814154072854,25.263157894736842
all,progress,5,3.0,,9,291,1.0060254132551396,0.6274206164655126,5.016855459013522,3.6922698838375785,2.1481429169871256,1.889948370538943,0.48869871794871794,0.5,0.36730589150808625,0.3548387096774194,36.27840573332552,34.41935483870968
all,progress,5,4.0,,9,292,-0.20113847221325536,0.4081542199835491,4.182375632691454,3.272181634402393,2.7337702809634997,2.1048959619330333,0.5040289748897856,0.5,0.3441939658243597,0.3333333333333333,36.863756613756615,34.666666666666664
all,progress,5,5.0,,9,296,1.698781883908886,1.3467661407140373,7.7776412735007855,5.615186672467768,3.063486106769255,2.261414082454152,0.6135294117647059,0.6190476190476191,0.4723177611965848,0.4666666666666667,45.96315328746166,41.88
all,efficiency,5,,1.0,9,296,0.3822576320724514,0.274915972553955,2.955214945202757,2.310357783267399,1.3279245999288174,1.082315040361962,0.2941575620127777,0.3,0.19734126984126985,0.18181818181818182,18.77858728535822,17.8
all,efficiency,5,,2.0,9,292,0.18743575263715752,-0.1489164426668761,3.575287486914652,2.9687255603896174,1.8997685357359247,1.7471242671420795,0.4326671476717224,0.4166666666666667,0.2624861121221023,0.25,26.32338993228226,25.2
all,efficiency,5,,3.0,9,291,1.1124537334388445,0.6274206164655126,5.335858292012792,3.6922698838375785,2.2439164523584127,1.889948370538943,0.5122717728925135,0.5,0.3696390289445902,0.3548387096774194,35.525587603161934,34.41935483870968
all,efficiency,5,,4.0,9,292,0.1188968497656292,0.4081542199835491,5.016165383962525,3.272181634402393,2.941683639299377,2.2684796894859864,0.48849424519987284,0.5,0.3788011695906433,0.375,39.410633408522295,36.375
all,efficiency,5,,5.0,9,296,1.4598558350994258,1.3467661407140373,6.947457123878434,5.615186672467768,2.7809144849475144,2.261414082454152,0.6025958103831889,0.6190476190476191,0.4297161881740334,0.4444444444444444,44.01677306259388,41.88
all,joint,5,1.0,1.0,9,240,0.36353485226304793,0.3976118679039611,2.8598790538338994,2.189574167760658,1.3108329297624578,1.082315040361962,0.3142780781032001,0.3,0.19667745803357313,0.18181818181818182,18.11335908194527,17.454545454545453
all,joint,5,1.0,2.0,9,55,-0.0226480480632151,-0.23903020988762877,3.044672817342916,2.5070888488773423,1.518904162061852,1.089878704076904,0.3854938271604938,0.4,0.33580246913580247,0.3333333333333333,20.017283950617285,17.8
all,joint,5,1.0,3.0,1,1,7.500890203636387,7.500890203636387,12.236088045162508,12.236088045162508,1.9943075068797278,1.9943075068797278,1.0,1.0,1.0,1.0,73.0,73.0
all,joint,5,2.0,1.0,9,56,0.4144098426702711,0.1663360524810867,3.463798590427614,2.5163219143139886,1.5174882696474222,1.4377750955792766,0.22698412698412698,0.25,0.16845238095238096,0.16666666666666666,21.590035273368608,20.833333333333332
all,joint,5,2.0,2.0,9,212,0.3890479133597731,0.2013543279261258,3.8190366777089828,2.9587918306312547,1.8673740090177732,1.6521752738402189,0.4349971515724937,0.4444444444444444,0.2471488408416513,0.25,27.615385882815463,25.263157894736842
all,joint,5,2.0,3.0,9,24,0.11791384958450491,-0.23776262514439378,5.399422355166533,3.3137288526919524,3.008728854114006,1.8320949143563885,0.3962962962962963,0.3333333333333333,0.2925925925925926,0.3333333333333333,25.081481481481482,23.666666666666668
all,joint,5,3.0,2.0,9,25,-0.5066249531973851,-0.680502008155496,3.4696236020262773,2.675693662789836,3.1402025608644616,2.003521564470534,0.5740740740740741,0.5,0.5037037037037037,0.5,40.11851851851852,37.0
all,joint,5,3.0,3.0,9,225,1.3376606420663234,0.7000456292508878,5.286696385608595,3.9089850071661444,2.112908058923769,1.889948370538943,0.4951363847373828,0.5,0.35761170731707314,0.3548387096774194,36.18853004535147,34.41935483870968
all,joint,5,3.0,4.0,9,35,0.004603907318396706,-0.04751714405111099,4.07215600902773,3.3937303238818867,1.7648812894846478,1.2811389483837753,0.3830687830687831,0.4,0.24761904761904763,0.25,40.776455026455025,43.0
all,joint,5,3.0,5.0,5,6,1.4582848491984202,1.138612010089004,4.283494420372312,3.7557464195052575,2.3488141815260666,1.4341657989327317,0.5,0.5,0.2,0.0,31.5,31.0
all,joint,5,4.0,3.0,9,40,-0.403914945710866,-0.624215736102752,4.333035806999101,3.113103014993712,1.9576932941159395,1.3840083725071095,0.6648148148148149,0.6666666666666666,0.48253968253968255,0.5,35.76296296296296,31.666666666666668
all,joint,5,4.0,4.0,9,181,-0.17618098192937722,0.36850582621204597,4.452966119849827,3.3618727060057087,2.8016868319742647,2.2684796894859864,0.4849009877294119,0.5,0.3377763482794252,0.3333333333333333,37.36679300400113,34.666666666666664
all,joint,5,4.0,5.0,9,71,-0.22102174959803025,-0.20481522143730163,3.362443995918132,2.5509096013673786,3.3485911216735843,2.6360410631685374,0.4722501350611451,0.42857142857142855,0.28695238095238095,0.25,37.13597058565293,32.95238095238095
all,joint,5,5.0,3.0,1,1,-6.80580775554436,-6.80580775554436,1.5028951468161795,1.5028951468161795,8.344087089261693,8.344087089261693,0.0,0.0,0.0,0.0,8.0,8.0
all,joint,5,5.0,4.0,9,76,0.4034400061052026,0.047530043366954596,6.017342234045136,4.878112167776033,3.177072353067851,2.029902705113356,0.5362033887489105,0.5,0.40224867724867723,0.4,42.143375844331305,38.5
all,joint,5,5.0,5.0,9,219,1.9661044440921019,1.4590973426785672,8.15847198082741,6.347469241591305,3.026527134872075,2.2628550634455007,0.646524663677647,0.6666666666666666,0.49646039896640825,0.5,46.904406307977735,43.857142857142854
all,progress,10,1.0,,9,246,0.5119908288288985,0.3782504455296626,3.137586365012074,2.432407670660127,1.3801936397977745,1.1361284463205967,0.30090262212981564,0.29411764705882354,0.1933813828532848,0.18518518518518517,16.955819812316704,16.352941176470587
all,progress,10,2.0,,9,244,0.0496412677791391,-0.036435286069654565,3.3392746039015083,2.640928576071091,1.9125658046855415,1.8113794205420304,0.38587301587301586,0.3888888888888889,0.2767260523153506,0.2857142857142857,28.48390521003966,25.833333333333332
all,progress,10,3.0,,9,246,0.4494354774849693,0.32857431408061187,4.5260014439862,3.5264885652885575,2.299692598530648,2.0242911519074175,0.48590634064547105,0.5,0.30872110788945197,0.29411764705882354,36.269604236914165,35.411764705882355
all,progress,10,4.0,,9,244,1.2378923104318016,0.49425689296607956,6.14199288899784,4.681579976504315,2.5937332534351734,2.132185928373048,0.5811949561949562,0.5769230769230769,0.39890946502057614,0.4,41.961570930441695,39.92307692307692
all,progress,10,5.0,,9,248,0.9461588321465394,0.7996327431547388,7.418719813675033,5.787646261121605,3.575604052969232,2.773522599061084,0.5899387122693765,0.6,0.4272864437797679,0.42857142857142855,44.42827095016217,41.357142857142854
all,efficiency,10,,1.0,9,246,0.317145197093152,0.3782504455296626,2.811169490406998,2.432407670660127,1.4151632492290308,1.1361284463205967,0.285019570707644,0.29411764705882354,0.18375767625684773,0.18518518518518517,16.845725980825245,16.352941176470587
all,efficiency,10,,2.0,9,244,0.20582706505519785,-0.036435286069654565,3.686608611509024,2.640928576071091,1.9383908825229535,1.8113794205420304,0.406014982680274,0.3888888888888889,0.29051417474793946,0.2857142857142857,28.503507903412784,25.833333333333332
all,efficiency,10,,3.0,9,246,1.1613712555760885,0.32857431408061187,5.536735619551658,3.5264885652885575,2.3844287560824285,2.0242911519074175,0.510764094512138,0.5,0.3323632165601017,0.29411764705882354,38.53169014910707,35.411764705882355
all,efficiency,10,,4.0,9,244,0.5197255235353537,0.49425689296607956,5.510029611403486,4.681579976504315,2.800377537979715,2.132185928373048,0.536031746031746,0.5769230769230769,0.37614506172839505,0.4,39.49620216613354,39.92307692307692
all,efficiency,10,,5.0,9,248,0.9797900001847281,0.7996327431547388,7.014836318310125,5.787646261121605,3.228915093177113,2.773522599061084,0.6053328920886728,0.6,0.4222789656277544,0.42857142857142855,44.6996147449406,41.357142857142854
all,joint,10,1.0,1.0,9,221,0.42843108267640784,0.3782504455296626,2.9383694408895656,2.405857596909846,1.3369667744949698,1.1361284463205967,0.294496077372875,0.29411764705882354,0.1862223781676413,0.18518518518518517,16.305277691647053,16.352941176470587
all,joint,10,1.0,2.0,9,25,2.004175268882642,0.6059718211532625,5.743153050319977,2.705749049173683,2.1599872861858813,1.4264390365032135,0.3888888888888889,0.3333333333333333,0.32175925925925924,0.25,25.064814814814813,22.333333333333332
all,joint,10,2.0,1.0,9,25,-0.9173390671875269,-0.5298264514884046,1.306055128703967,1.308104535192179,2.374631887206086,1.7014602874080773,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,19.26851851851852,17.5
all,joint,10,2.0,2.0,9,214,0.12130047486121127,-0.036435286069654565,3.521211906874848,2.640928576071091,1.8800940873862814,1.8113794205420304,0.40503663003663006,0.3888888888888889,0.2917475800384157,0.2857142857142857,28.95734004790207,25.833333333333332
all,joint,10,2.0,3.0,4,5,-0.5947438142489003,-0.7602283386620642,2.2028874075695986,1.3303615344391222,2.472671048746775,1.7106294811207188,0.25,0.25,0.25,0.25,32.5,32.0
all,joint,10,3.0,2.0,4,5,-3.0819061672064973,-3.2038017598197033,3.469743834620272,2.1878580249299384,5.804330832464581,4.544540731724535,0.5,0.5,0.5,0.5,27.375,27.0
