feature,information_set,stage,markets,large_n,failed_n,eq_market_mean_auc,markets_auc_gt_0_5
e0_abs_er20,E0,Markup,8,101,392,0.5829056291549112,6
e0_abs_er20,E0,Markdown,9,142,445,0.46914396798796026,3
e0_abs_er63,E0,Markup,8,91,337,0.48050383959252563,3
e0_abs_er63,E0,Markdown,8,125,349,0.5256187955126634,4
e0_abs_er126,E0,Markup,8,77,264,0.43424545560203276,1
e0_abs_er126,E0,Markdown,7,103,271,0.42095929296494833,2
e0_dir_er20,E0,Markup,8,101,392,0.5863016433914553,6
e0_dir_er20,E0,Markdown,9,142,445,0.48124236637097983,4
e0_dir_er63,E0,Markup,8,91,337,0.548339769661552,5
e0_dir_er63,E0,Markdown,8,125,349,0.6028219795141965,7
e0_dir_er126,E0,Markup,8,77,264,0.5391800619484212,5
e0_dir_er126,E0,Markdown,7,103,271,0.5578990498118637,5
e0_disp20_atr,E0,Markup,8,101,392,0.5671229956317483,6
e0_disp20_atr,E0,Markdown,9,142,445,0.5282786213818462,6
e0_disp63_atr,E0,Markup,8,91,337,0.5552394207961739,5
e0_disp63_atr,E0,Markdown,8,125,349,0.6153136661315348,7
e0_disp126_atr,E0,Markup,8,77,264,0.5406788783831524,5
e0_disp126_atr,E0,Markdown,7,103,271,0.5692336578065409,5
e0_escape63_atr,E0,Markup,8,91,337,0.5837138685288761,6
e0_escape63_atr,E0,Markdown,8,125,349,0.5749356724663949,6
e0_escape126_atr,E0,Markup,8,77,264,0.5592691790508181,6
e0_escape126_atr,E0,Markdown,7,103,271,0.5624204128534538,5
e0_escape252_atr,E0,Markup,7,46,180,0.582526570012169,6
e0_escape252_atr,E0,Markdown,7,76,193,0.4915862906008965,3
e0_range_pos63,E0,Markup,8,91,337,0.5765037814596304,6
e0_range_pos63,E0,Markdown,8,125,349,0.583829191590022,5
e0_range_pos126,E0,Markup,8,77,264,0.5768058997574027,7
e0_range_pos126,E0,Markdown,7,103,271,0.5936663551272071,5
e0_range_pos252,E0,Markup,7,46,180,0.6032345342829214,6
e0_range_pos252,E0,Markdown,7,76,193,0.5505658059279508,6
e0_stage_changes20,E0,Markup,8,101,392,0.5240703845662401,6
e0_stage_changes20,E0,Markdown,9,142,445,0.4796530410431212,3
e0_stage_changes63,E0,Markup,8,91,337,0.5224156441519573,5
e0_stage_changes63,E0,Markdown,8,125,349,0.4621125782319303,2
e0_fresh_trend_entries63,E0,Markup,8,91,337,0.5067737707348635,4
e0_fresh_trend_entries63,E0,Markdown,8,125,349,0.5055742844647078,4
e0_fresh_trend_entries126,E0,Markup,8,77,264,0.5087360833895521,4
e0_fresh_trend_entries126,E0,Markdown,7,103,271,0.4287141717387087,3
e0_trend_occupancy63,E0,Markup,8,91,337,0.48235998985556056,4
e0_trend_occupancy63,E0,Markdown,8,125,349,0.41426747537674175,2
e0_trend_occupancy126,E0,Markup,8,77,264,0.4605182811605499,2
e0_trend_occupancy126,E0,Markdown,7,103,271,0.45736659437207333,3
e5_cum_atr,E5,Markup,8,127,421,0.7790972851794341,8
e5_cum_atr,E5,Markdown,9,180,468,0.777658261691044,9
e5_mfe_atr,E5,Markup,8,127,421,0.7648736174645204,8
e5_mfe_atr,E5,Markdown,9,180,468,0.7664743645121244,9
e5_giveback_atr,E5,Markup,8,127,421,0.684726386997,8
e5_giveback_atr,E5,Markdown,9,180,468,0.6600573804152498,8
e5_dir_eff,E5,Markup,8,127,421,0.7697369801445864,8
e5_dir_eff,E5,Markdown,9,180,468,0.7582484880625935,9
e10_cum_atr,E10,Markup,8,127,294,0.8740508613807505,8
e10_cum_atr,E10,Markdown,9,180,359,0.8337927595038147,9
e10_mfe_atr,E10,Markup,8,127,294,0.8345366935179184,8
e10_mfe_atr,E10,Markdown,9,180,359,0.8297194280513007,9
e10_giveback_atr,E10,Markup,8,127,294,0.7175045895497004,8
e10_giveback_atr,E10,Markdown,9,180,359,0.6440263952689231,9
e10_dir_eff,E10,Markup,8,127,294,0.8438930419021144,8
e10_dir_eff,E10,Markdown,9,180,359,0.8065808248280751,9
