feature,information_set,quality_quintile,markets,episodes,eq_market_large_share,eq_market_failed_share,eq_market_pg_return
e0_abs_er20,E0,1,9,269,0.17192526056789048,0.6707101159911341,0.37285933250763614
e0_abs_er20,E0,2,9,268,0.16291980926127267,0.7114256099621953,0.2440631632710067
e0_abs_er20,E0,3,9,265,0.1366726703153002,0.7431846098070912,0.23480591767152273
e0_abs_er20,E0,4,9,268,0.15334786164054456,0.6645422267373486,0.17126415488978497
e0_abs_er20,E0,5,9,271,0.19003167677757213,0.6493507082873375,0.3984563093865161
e0_abs_er63,E0,1,9,235,0.19223190625269193,0.6507408997826618,0.6707899415841313
e0_abs_er63,E0,2,9,232,0.1571759259259259,0.6909750280583614,0.2169991233506451
e0_abs_er63,E0,3,9,232,0.14471257901931361,0.7199189995742739,0.16964184104616217
e0_abs_er63,E0,4,9,232,0.15209315375982044,0.7020833333333333,0.25831930356893723
e0_abs_er63,E0,5,9,235,0.19965812147352957,0.6824106134947097,0.20020717400030524
e0_abs_er126,E0,1,9,192,0.21844807491359214,0.6216367923264475,0.9763691345864611
e0_abs_er126,E0,2,9,187,0.1936763364349571,0.6387319832147419,0.225860613275207
e0_abs_er126,E0,3,9,186,0.15779433848399366,0.6939442180458514,0.25658000132509007
e0_abs_er126,E0,4,9,187,0.1714230979748221,0.7280131362889983,0.3796973023412363
e0_abs_er126,E0,5,9,194,0.12512302512302512,0.7393615643615644,-0.0655631941318977
e0_dir_er20,E0,1,9,269,0.15110667718302925,0.7359370586517988,0.11923088393338308
e0_dir_er20,E0,2,9,268,0.17517232151378492,0.6561245058806034,0.4660220291992822
e0_dir_er20,E0,3,9,265,0.14501915427154027,0.7302084962212215,0.25641233764354865
e0_dir_er20,E0,4,9,268,0.15328333718577622,0.6672522538376197,0.18021243705622716
e0_dir_er20,E0,5,9,271,0.19003167677757213,0.6493507082873375,0.3984563093865161
e0_dir_er63,E0,1,9,235,0.10035878981054419,0.8093485586515716,-0.35929763333293674
e0_dir_er63,E0,2,9,232,0.18127104377104375,0.6486069023569024,0.5797563930543473
e0_dir_er63,E0,3,9,232,0.16358344762419466,0.6818483802076725,0.4609523137624334
e0_dir_er63,E0,4,9,232,0.1937864758698092,0.6414267676767678,0.6272052203935109
e0_dir_er63,E0,5,9,235,0.20967206328094962,0.6610905285876681,0.23056847763653726
e0_dir_er126,E0,1,9,192,0.06733437379989105,0.7713900722521412,-0.22083570155148685
e0_dir_er126,E0,2,9,187,0.19126436781609196,0.6596278051450466,0.38939363346419936
e0_dir_er126,E0,3,9,186,0.21404993473958991,0.6263945008409618,0.5098063762187213
e0_dir_er126,E0,4,9,187,0.21413428206531657,0.6913336982302499,0.5139341054847746
e0_dir_er126,E0,5,9,194,0.18245273245273244,0.6733423983423984,0.5771205373618268
e0_disp20_atr,E0,1,9,269,0.155127406813515,0.7227095454242857,0.12307907489270659
e0_disp20_atr,E0,2,9,268,0.14032808545003667,0.7022479463942878,0.5935637713387364
e0_disp20_atr,E0,3,9,265,0.16582388568072556,0.6909264314973046,0.0011271242331966675
e0_disp20_atr,E0,4,9,268,0.14955389345633247,0.6842147595806132,0.27270434972911295
