feature,information_set,orientation,scope,markets,large_n,failed_n,eq_market_mean_auc,eq_market_median_auc,markets_auc_gt_0_5,eq_market_large_median,eq_market_failed_median
e0_abs_er20,E0,1,all,9,244,894,0.5241781085769674,0.5221729490022173,6,0.24754573708439642,0.23859456259602252
e0_abs_er20,E0,1,2010-2014,5,26,58,0.5600677100677101,0.5604395604395604,4,0.262629819499041,0.22714289590696463
e0_abs_er20,E0,1,2015-2019,2,8,47,0.5007272727272727,0.5007272727272727,1,0.19090386124868794,0.2127540932645256
e0_abs_er20,E0,1,2020-2026,7,26,171,0.5765610855672968,0.5952380952380952,5,0.25453836582304407,0.22195716603948049
e0_abs_er63,E0,1,all,9,219,774,0.493557174850538,0.48089591567852435,2,0.08822884822784756,0.08419029629274123
e0_abs_er63,E0,1,2010-2014,5,24,52,0.5370566933066934,0.5757575757575758,3,0.08451824170072109,0.0684949570157414
e0_abs_er63,E0,1,2015-2019,2,8,39,0.5267543859649123,0.5267543859649123,1,0.04735486771364482,0.07590878765200701
e0_abs_er63,E0,1,2020-2026,7,26,140,0.4058095518909318,0.4,2,0.06400446603950398,0.08505946543130496
e0_abs_er126,E0,1,all,9,183,623,0.43771447252408646,0.44017094017094016,1,0.07044935777702148,0.0839564383528367
e0_abs_er126,E0,1,2010-2014,3,15,26,0.27037037037037037,0.2222222222222222,0,0.05316792501094896,0.09441801604644222
e0_abs_er126,E0,1,2015-2019,1,4,18,0.6388888888888888,0.6388888888888888,1,0.10237695950728645,0.061817915533133386
e0_abs_er126,E0,1,2020-2026,5,18,73,0.4524827174459528,0.43333333333333335,1,0.0746302399555935,0.08192283371722278
e0_dir_er20,E0,1,all,9,244,894,0.5349992564376743,0.5332594235033259,6,0.24652501731405932,0.2370787102432835
e0_dir_er20,E0,1,2010-2014,5,26,58,0.5848429348429349,0.6060606060606061,4,0.262629819499041,0.22480275152066662
e0_dir_er20,E0,1,2015-2019,2,8,47,0.5314545454545454,0.5314545454545454,1,0.19090386124868794,0.20335687952547046
e0_dir_er20,E0,1,2020-2026,7,26,171,0.5938961935235226,0.6190476190476191,5,0.25453836582304407,0.21548059550172344
e0_dir_er63,E0,1,all,9,219,774,0.5773917743221679,0.583421052631579,8,0.07564121505212895,0.047222288200665354
e0_dir_er63,E0,1,2010-2014,5,24,52,0.5782081344581345,0.5909090909090909,3,0.08167549838131304,0.04614812285708812
e0_dir_er63,E0,1,2015-2019,2,8,39,0.5793859649122808,0.5793859649122808,2,0.028699953920242174,0.03920702151638577
e0_dir_er63,E0,1,2020-2026,7,26,140,0.5222481911424858,0.49019607843137253,3,0.029712074876485507,0.05199361550888346
e0_dir_er126,E0,1,all,9,183,623,0.570408020632456,0.5635245901639344,8,0.04924224528635092,0.02984813257255263
e0_dir_er126,E0,1,2010-2014,3,15,26,0.5385802469135803,0.5555555555555556,2,0.038029524265664034,-0.0002276491180093522
e0_dir_er126,E0,1,2015-2019,1,4,18,0.4583333333333333,0.4583333333333333,0,-0.01305139627586788,0.013371718023171874
e0_dir_er126,E0,1,2020-2026,5,18,73,0.6468187531422827,0.6153846153846154,5,0.05581032045719506,0.02557879497683931
e0_disp20_atr,E0,1,all,9,244,894,0.5518399350739307,0.54272030651341,7,3.2515827236520463,2.924103943792388
e0_disp20_atr,E0,1,2010-2014,5,26,58,0.6127983127983128,0.6043956043956044,5,4.402866566603862,3.1287002284843384
e0_disp20_atr,E0,1,2015-2019,2,8,47,0.5350303030303031,0.5350303030303031,1,1.9128235850829176,2.1249440041333316
e0_disp20_atr,E0,1,2020-2026,7,26,171,0.5442011956297671,0.5476190476190477,4,2.3844789075222033,2.1694202617153553
e0_disp63_atr,E0,1,all,9,219,774,0.5916841604870826,0.5974683544303797,9,3.0100854572942928,1.7534254530217757
e0_disp63_atr,E0,1,2010-2014,5,24,52,0.5934909997409997,0.6060606060606061,4,3.5869890415858956,2.3399078551399115
e0_disp63_atr,E0,1,2015-2019,2,8,39,0.5681578947368421,0.5681578947368421,2,1.12938919140713,1.4663143883272713
e0_disp63_atr,E0,1,2020-2026,7,26,140,0.516242267241825,0.5098039215686274,4,0.9983827984964357,1.7307081768920123
e0_disp126_atr,E0,1,all,9,183,623,0.575903937693492,0.5655737704918032,9,4.280439842969948,1.9704630022229597
e0_disp126_atr,E0,1,2010-2014,3,15,26,0.566358024691358,0.6388888888888888,2,4.585232362554917,-0.4263594402537872
e0_disp126_atr,E0,1,2015-2019,1,4,18,0.4305555555555556,0.4305555555555556,0,-1.6378944009225633,1.2411279983176366
e0_disp126_atr,E0,1,2020-2026,5,18,73,0.6460875439919558,0.6153846153846154,5,3.661157236615524,1.4538946305388065
e0_escape63_atr,E0,1,all,9,219,774,0.5886304262598919,0.6040574424435833,7,-1.2338984515448068,-1.8689289169217613
e0_escape63_atr,E0,1,2010-2014,5,24,52,0.6091230528730529,0.5681818181818182,4,-0.8904510318423208,-2.140233212697922
e0_escape63_atr,E0,1,2015-2019,2,8,39,0.6859649122807017,0.6859649122807017,2,-1.459702314389224,-2.295535624745772
e0_escape63_atr,E0,1,2020-2026,7,26,140,0.5422382860640269,0.5079365079365079,4,-1.2253759883220552,-1.722969238546648
e0_escape126_atr,E0,1,all,9,183,623,0.5821020125245732,0.6012931034482759,6,-3.0642115802788754,-3.7729441165908266
e0_escape126_atr,E0,1,2010-2014,3,15,26,0.7345679012345679,0.7777777777777778,2,-2.645960573751903,-5.210895803234972
e0_escape126_atr,E0,1,2015-2019,1,4,18,0.4583333333333333,0.4583333333333333,0,-5.263707583007448,-4.257295251004944
e0_escape126_atr,E0,1,2020-2026,5,18,73,0.5621923705379588,0.5686274509803921,4,-2.693960443172453,-3.8378439067660866
e0_escape252_atr,E0,1,all,9,127,435,0.5506176419904281,0.5154320987654321,7,-6.532279388322447,-7.226186858918321
e0_escape252_atr,E0,1,2010-2014,3,12,23,0.5881944444444445,0.65625,2,-9.095983888430494,-12.456638749595479
e0_escape252_atr,E0,1,2015-2019,1,3,12,0.3888888888888889,0.3888888888888889,0,-14.42467414871084,-5.613303550347123
e0_escape252_atr,E0,1,2020-2026,2,7,17,0.7453703703703703,0.7453703703703703,2,-2.5586732279160995,-8.760426116542158
e0_range_pos63,E0,1,all,9,219,774,0.5889002682319788,0.6075949367088608,8,0.8561545011921988,0.7625659520196318
e0_range_pos63,E0,1,2010-2014,5,24,52,0.5888789451289451,0.5185185185185185,3,0.8780530685913515,0.7472921082848729
e0_range_pos63,E0,1,2015-2019,2,8,39,0.638421052631579,0.638421052631579,2,0.7881771049609549,0.6668745084528025
e0_range_pos63,E0,1,2020-2026,7,26,140,0.518888856978198,0.49019607843137253,2,0.7911672179678575,0.7564913263711628
e0_range_pos126,E0,1,all,9,183,623,0.606398614533177,0.63125,9,0.7908141580420355,0.696553506438148
e0_range_pos126,E0,1,2010-2014,3,15,26,0.6925925925925925,0.6388888888888888,3,0.8460506476852606,0.6759965502239171
e0_range_pos126,E0,1,2015-2019,1,4,18,0.5555555555555556,0.5555555555555556,1,0.6546088913162893,0.5970716845607551
e0_range_pos126,E0,1,2020-2026,5,18,73,0.5956023755656108,0.6,4,0.7804539583278336,0.5901391827519888
e0_range_pos252,E0,1,all,9,127,435,0.6098943482989176,0.6072530864197531,8,0.722828126880069,0.6001538946083601
e0_range_pos252,E0,1,2010-2014,3,12,23,0.6523809523809524,0.75,2,0.6838358929915133,0.5140903150609532
e0_range_pos252,E0,1,2015-2019,1,3,12,0.3888888888888889,0.3888888888888889,0,0.4260945134848078,0.6186482284595698
e0_range_pos252,E0,1,2020-2026,2,7,17,0.7638888888888888,0.7638888888888888,2,0.8428858504908812,0.4570872980385149
e0_stage_changes20,E0,-1,all,9,244,894,0.5024777227386923,0.48706431908012937,4,1.0,1.0
e0_stage_changes20,E0,-1,2010-2014,5,26,58,0.4789016539016539,0.45454545454545453,2,0.7,0.8
e0_stage_changes20,E0,-1,2015-2019,2,8,47,0.6445757575757576,0.6445757575757576,2,0.5,1.0
e0_stage_changes20,E0,-1,2020-2026,7,26,171,0.497705681482079,0.5,3,0.7857142857142857,1.0
e0_stage_changes63,E0,-1,all,9,219,774,0.4964349709294906,0.44861660079051385,4,2.0555555555555554,2.0
e0_stage_changes63,E0,-1,2010-2014,5,24,52,0.36099467661967666,0.3333333333333333,0,2.8,1.8
