checkpoint,normalizer,outcome,markets,auc_eq_mean,auc_eq_median,markets_gt_0_5
5,atr,future_extension,9,0.7470215429964734,0.7549844926894107,9
5,atr,future_net_positive,9,0.49445514237802957,0.5258190232614786,5
5,atr,remaining20,9,0.7273746215980322,0.74159891598916,9
5,medabs20,future_extension,9,0.7479932285808298,0.7626643036479102,9
5,medabs20,future_net_positive,9,0.49664838280244844,0.5197296309828279,5
5,medabs20,remaining20,9,0.7230710336065096,0.7429539295392954,9
5,sigma20,future_extension,9,0.749970670645382,0.7567567567567568,9
5,sigma20,future_net_positive,9,0.4978708968823447,0.520094994519547,5
5,sigma20,remaining20,9,0.725271148201664,0.7425454545454545,9
10,atr,future_extension,9,0.7705547322168476,0.7523329600597238,9
10,atr,future_net_positive,9,0.5453518611885029,0.548558576978123,8
10,atr,remaining20,9,0.7635748739516582,0.7573721537887271,9
10,medabs20,future_extension,9,0.7678855374209425,0.7597860962566845,9
10,medabs20,future_net_positive,9,0.543330291619197,0.5544642857142857,7
10,medabs20,remaining20,9,0.7596519943978137,0.7499066815976111,9
10,sigma20,future_extension,9,0.7708107115015183,0.7603151565415717,9
10,sigma20,future_net_positive,9,0.5439008713005108,0.5517857142857143,7
10,sigma20,remaining20,9,0.7627349101521073,0.7581187010078387,9
