slice,stage_name,policy,markets,n,eqm_median_harvest,eqm_mean_harvest,eqm_median_capture,eqm_median_terminal_giveback,eqm_median_avg_exposure,eqm_mean_turnover,eqm_mean_rerisk,eqm_mean_derisk,eqm_frac_any_rerisk
all,Markdown,balanced,9,818,-0.817108,0.554929,-0.172211,2.750067,0.622805,5.881667,6.102621,7.974234,0.814811
all,Markdown,balanced_latch,9,818,-0.743867,0.415151,-0.110771,2.361262,0.542511,4.169019,2.033984,5.417758,0.594811
all,Markdown,defensive,9,818,-0.74496,0.438709,-0.124679,2.165353,0.48375,6.979999,5.508813,7.091225,0.800899
all,Markdown,formal,9,818,-0.927787,0.985393,-0.164188,3.823168,1.0,2.0,0.0,0.0,0.0
all,Markdown,gentle,9,818,-0.92527,0.699808,-0.225396,3.425269,0.784099,4.447518,4.378475,5.924253,0.7691
all,Markdown,gentle_latch,9,818,-0.823422,0.585144,-0.152856,3.087035,0.720735,3.152027,1.369441,3.831295,0.492587
all,Markup,balanced,9,806,-0.995826,-0.158262,-0.161158,2.683725,0.609239,5.293474,5.271525,7.340284,0.795268
all,Markup,balanced_latch,9,806,-0.817922,-0.120984,-0.089004,2.294307,0.531068,3.719438,1.680194,4.940139,0.559822
all,Markup,defensive,9,806,-0.835047,-0.141365,-0.138295,2.124698,0.462432,6.170122,4.690225,6.447948,0.77047
all,Markup,formal,9,806,-1.164982,0.023539,-0.142298,3.5284,1.0,2.0,0.0,0.0,0.0
all,Markup,gentle,9,806,-1.101512,-0.118253,-0.197472,3.312597,0.774416,4.087928,3.767565,5.426611,0.755116
all,Markup,gentle_latch,9,806,-1.020421,-0.074691,-0.154225,2.957365,0.711711,2.879341,1.077018,3.450454,0.464481
mfe_lt_4,Markdown,balanced,9,523,-1.564721,-1.455107,-0.934082,2.358378,0.645467,3.629826,2.803705,4.688397,0.724041
mfe_lt_4,Markdown,balanced_latch,9,523,-1.347332,-1.272965,-0.852855,2.112772,0.581055,2.605616,0.682334,3.184081,0.407235
mfe_lt_4,Markdown,defensive,9,523,-1.24125,-1.210467,-0.802995,1.905033,0.500657,4.15738,2.640423,4.293713,0.703503
mfe_lt_4,Markdown,formal,9,523,-1.899133,-2.094269,-1.275318,2.970595,1.0,2.0,0.0,0.0,0.0
mfe_lt_4,Markdown,gentle,9,523,-1.8365,-1.748356,-1.058441,2.800487,0.810343,3.016811,1.920936,3.400127,0.659455
mfe_lt_4,Markdown,gentle_latch,9,523,-1.630117,-1.590461,-0.962065,2.616839,0.754963,2.264449,0.385977,2.227027,0.281692
mfe_lt_4,Markup,balanced,9,535,-1.547653,-1.819871,-0.909151,2.32125,0.61702,3.420728,2.45316,4.428018,0.701273
mfe_lt_4,Markup,balanced_latch,9,535,-1.401293,-1.652799,-0.806332,2.118671,0.545697,2.528688,0.561603,3.084283,0.363964
mfe_lt_4,Markup,defensive,9,535,-1.259763,-1.531468,-0.767479,1.843418,0.457516,3.815781,2.269695,4.019577,0.666084
mfe_lt_4,Markup,formal,9,535,-1.984682,-2.456393,-1.193096,2.954694,1.0,2.0,0.0,0.0,0.0
mfe_lt_4,Markup,gentle,9,535,-1.83734,-2.125181,-1.064242,2.785042,0.789857,2.925798,1.746487,3.30837,0.647346
mfe_lt_4,Markup,gentle_latch,9,535,-1.666663,-1.985783,-0.953903,2.617118,0.731532,2.247886,0.343967,2.212267,0.256015
mfe_ge_4,Markdown,balanced,9,295,2.817661,4.356119,0.299992,3.677185,0.598586,10.138376,12.425756,14.246687,0.98967
mfe_ge_4,Markdown,balanced_latch,9,295,2.463527,3.624337,0.2661,3.059096,0.499903,7.091212,4.574141,9.64028,0.953761
mfe_ge_4,Markdown,defensive,9,295,2.206682,3.581074,0.253385,3.015541,0.474115,12.315604,10.991662,12.42645,0.987533
mfe_ge_4,Markdown,formal,9,295,4.560324,6.774676,0.498225,5.902049,1.0,2.0,0.0,0.0,0.0
mfe_ge_4,Markdown,gentle,9,295,3.463954,5.313792,0.366352,4.824847,0.757359,7.144621,9.064325,10.717812,0.985181
