stage,policy,markets,pooled_n,harvest_eq_market_mean,avg_exposure_eq_market_mean,under_full_frac_eq_market_mean,increase_count_eq_market_mean,turnover_eq_market_mean
Markdown,full,9,818,0.9853926145737186,1.0,0.0,0.0,2.0
Markdown,proof_0_5,9,818,0.8370103887844218,0.725464074937761,0.36604790008298527,0.7343998445229807,1.6015997667844712
Markdown,proof_1_0,9,818,0.807954912876055,0.6549774743750582,0.46003003416658916,0.6462564926133642,1.4693847389200463
Markdown,proof_2_0,9,818,0.8165305500428368,0.5477805606887202,0.6029592524150398,0.5070103936476026,1.260515590471404
Markdown,ladder,9,818,0.8204986172344378,0.6427407033338465,0.6029592524150398,1.4362661412299822,1.4438333653919737
Markup,full,9,806,0.023539250830152198,1.0,0.0,0.0,2.0
Markup,proof_0_5,9,806,0.0898135121278123,0.6967616094228202,0.4043178541029064,0.686844308513463,1.5302664627701945
Markup,proof_1_0,9,806,0.0421512588324566,0.6276968804755543,0.49640415936592774,0.6091810891514162,1.4137716337271242
Markup,proof_2_0,9,806,-0.02891038959634041,0.5285782593816574,0.6285623208244568,0.48840471898360605,1.232607078475409
Markup,ladder,9,806,0.03435146045464281,0.6176789164266773,0.6285623208244568,1.3817296809504596,1.3922150583242425
