era,policy,markets,pooled_n,harvest_eq_market_mean,avg_exposure_eq_market_mean,under_full_frac_eq_market_mean,increase_count_eq_market_mean,turnover_eq_market_mean
2010-2014,full,9,248,1.4810336458616473,1.0,0.0,0.0,2.0
2010-2014,proof_0_5,9,248,1.4870747192723366,0.7130533758012594,0.38259549893165423,0.7109777901715266,1.56646668525729
2010-2014,proof_1_0,9,248,1.4519423947455652,0.6443951093570648,0.4741398541905802,0.635564103038699,1.4533461545580486
2010-2014,proof_2_0,9,248,1.343967255399816,0.5492878935821134,0.6009494752238488,0.5090853433682019,1.263628015052303
2010-2014,ladder,9,248,1.427661456472573,0.6355787929134792,0.6009494752238488,1.438492046542188,1.4278136182892138
2015-2019,full,9,290,-0.10136852355401299,1.0,0.0,0.0,2.0
2015-2019,proof_0_5,9,290,-0.065824037001626,0.6836524551723967,0.4217967264368043,0.6822654704127539,1.5233982056191309
2015-2019,proof_1_0,9,290,-0.0434885407447964,0.5966952364735081,0.5377396847019892,0.5674032360824948,1.351104854123742
2015-2019,proof_2_0,9,290,-0.04701748116212906,0.48331227139381144,0.688916971474918,0.42501494733267037,1.1375224209990056
2015-2019,ladder,9,290,-0.05211001963618385,0.5878866543465722,0.688916971474918,1.3520743315876311,1.3373418269139594
2020-2026,full,9,348,0.16993757272849902,1.0,0.0,0.0,2.0
2020-2026,proof_0_5,9,348,0.14689444190809547,0.7014261805706019,0.3980984259058641,0.693138870839859,1.5397083062597885
2020-2026,proof_1_0,9,348,0.08725915403735145,0.6184117978417593,0.508784269544321,0.5972410514585933,1.39586157718789
2020-2026,proof_2_0,9,348,0.05333024657142899,0.5094059576870225,0.6541253897506367,0.46593166248583157,1.1988974937287473
2020-2026,ladder,9,348,0.0958279475056253,0.6097479786997945,0.6541253897506367,1.4802565135638495,1.378155792392142
