direction,policy,ann_return_eq_mean,ann_vol_eq_mean,sharpe_eq_mean,sortino_eq_mean,max_drawdown_eq_mean,es5_eq_mean,ann_turnover_eq_mean
Markdown,formal_hold,2.987653,12.538841,0.226321,0.334654,47.900950,-1.868197,6.072114
Markdown,simple_none,2.437332,11.011125,0.204767,0.292121,46.125188,-1.766323,4.455263
Markdown,progressive_none,2.474181,10.855876,0.210961,0.301234,44.704202,-1.733479,4.378513
Markdown,simple_warning,1.991416,8.817252,0.197922,0.286663,38.468623,-1.393776,5.688479
Markdown,progressive_warning,2.008561,8.649797,0.203690,0.295226,37.486116,-1.360926,5.651952
Markup,formal_hold,0.109082,11.686398,0.007821,0.017591,70.582774,-1.669869,6.111675
Markup,simple_none,0.192966,10.801380,0.017896,0.033228,61.976734,-1.539079,4.291698
Markup,progressive_none,0.168923,10.647416,0.014553,0.028725,61.591965,-1.506389,4.226517
Markup,simple_warning,0.020374,9.149296,0.013013,0.026033,53.792464,-1.237054,5.106899
Markup,progressive_warning,-0.026093,8.980934,0.004749,0.014588,53.791917,-1.203268,5.082031
