slice,add_policy,management,markets,pooled_n,harvest_eq_market_mean,avg_exposure_eq_market_mean,below_earned_frac_eq_market_mean,turnover_eq_market_mean,de_risk_count_eq_market_mean,re_risk_count_eq_market_mean,max_reduction_eq_market_mean
failed,simple_1atr,none,9,1058,-1.6451181636340928,0.5008118112817777,0.0,1.165156843159194,0.0,0.0,0.0
failed,simple_1atr,gentle_latch,9,1058,-1.2820026869394736,0.38856899939294465,0.2324239915398121,1.2643950331691904,2.2158034497010135,0.3714636216138534,0.24798277451489767
failed,simple_1atr,balanced_latch,9,1058,-1.0536024679665905,0.3119705538921346,0.3063937820032401,1.3901800889841243,3.127346552904934,0.632175229113146,0.38835694475633514
failed,simple_1atr,warning_first,9,1058,-1.466918539615234,0.44667499727789767,0.16510276665073542,1.19234493177583,1.1661061593409245,0.13357525343131943,0.14283273933858995
failed,progressive,none,9,1058,-1.5794998594290612,0.4892577598040193,0.0,1.1307159420615616,0.0,0.0,0.0
failed,progressive,gentle_latch,9,1058,-1.271290382910358,0.4017747460263353,0.2049034570996016,1.187656454123052,2.2158034497010135,0.3714636216138534,0.21152130514390866
failed,progressive,balanced_latch,9,1058,-1.044174257493843,0.32196179508744577,0.3192518037555583,1.289333978612722,3.127346552904934,0.632175229113146,0.36325276639807774
failed,progressive,warning_first,9,1058,-1.394311387721131,0.42530058836339424,0.20438419639771588,1.167872435287296,1.1661061593409245,0.13357525343131943,0.1647133035920101
middle,simple_1atr,none,9,258,-0.3304400829471066,0.8988910737072894,0.0,2.0,0.0,0.0,0.0
middle,simple_1atr,gentle_latch,9,258,0.043951794050730825,0.6069106803244727,0.5551661697269208,2.964379757722149,4.396099147095524,1.6169339182020341,0.6506673772751672
middle,simple_1atr,balanced_latch,9,258,0.07904427506846184,0.44818788314117275,0.6348911887331998,4.015633343441315,6.555312049062049,2.6788226903263137,0.9006673772751671
middle,simple_1atr,warning_first,9,258,-0.06093901093304509,0.7457022227562029,0.4174141235592719,2.329161198771706,2.259416368655499,0.7187156241504068,0.4021667459620358
middle,progressive,none,9,258,-0.4594476669213162,0.8865315897824749,0.0,2.0,0.0,0.0,0.0
middle,progressive,gentle_latch,9,258,0.03285579563764569,0.6015448756241917,0.5425755229146574,2.8517925981694097,4.396099147095524,1.6169339182020341,0.6508409883862782
middle,progressive,balanced_latch,9,258,0.0756905311274916,0.44487749951792427,0.6266695044250693,3.823905767474608,6.555312049062049,2.6788226903263137,0.9002096752549651
middle,progressive,warning_first,9,258,-0.2293000957791104,0.7313093306325965,0.4255477563544399,2.3555584746707936,2.259416368655499,0.7187156241504068,0.40303480151759136
large,simple_1atr,none,9,308,9.182838973366467,0.9495912908391357,0.0,2.0,0.0,0.0,0.0
large,simple_1atr,gentle_latch,9,308,6.436140969636386,0.613026570882512,0.5928356973767696,5.418472864582879,8.350021300499042,4.120575103480515,0.7272786643082629
large,simple_1atr,balanced_latch,9,308,5.02027546953985,0.4482465003923862,0.6591202819605035,8.072739477071174,11.820625580959733,5.845410908558128,0.9772786643082628
large,simple_1atr,warning_first,9,308,7.640599355938686,0.7612354952267045,0.47016930045571415,3.5120061910162796,4.648912183112034,2.30108253874401,0.47727866430826293
large,progressive,none,9,308,9.055804004423475,0.9412463583433612,0.0,2.0,0.0,0.0,0.0
large,progressive,gentle_latch,9,308,6.444736631913796,0.6098443738539223,0.581276919673905,5.293307442728282,8.350021300499042,4.120575103480515,0.7272786643082629
large,progressive,balanced_latch,9,308,5.029482073332332,0.44616221414394963,0.6547286388398903,7.8861267777155994,11.820625580959733,5.845410908558128,0.9772786643082628
large,progressive,warning_first,9,308,7.477766203296958,0.7521636693553598,0.4730768739579948,3.5310155198940296,4.648912183112034,2.30108253874401,0.47727866430826293
