feature,information_set,family,scope,markets,eq_market_mean_conditional_auc,eq_market_median_conditional_auc,markets_conditional_auc_gt_0_5,mean_valid_bands
e5_dir_eff,E5,baseline_efficiency,all,8,0.6489509886996048,0.6365599067856011,8,2.625
e5_dir_eff,E5,baseline_efficiency,2010-2014,1,0.38888888888888884,0.38888888888888884,0,2.0
e5_dir_eff,E5,baseline_efficiency,2020-2026,1,0.6904761904761905,0.6904761904761905,1,2.0
e5_favorable_day_share,E5,consistency,all,8,0.5582656858386139,0.5531670072468684,8,2.625
e5_favorable_day_share,E5,consistency,2010-2014,1,0.5555555555555556,0.5555555555555556,1,2.0
e5_favorable_day_share,E5,consistency,2020-2026,1,0.41666666666666663,0.41666666666666663,0,2.0
e5_new_high_rate,E5,extension,all,8,0.585559561485626,0.553143804101251,7,2.625
e5_new_high_rate,E5,extension,2010-2014,1,0.5277777777777778,0.5277777777777778,1,2.0
e5_new_high_rate,E5,extension,2020-2026,1,0.6666666666666666,0.6666666666666666,1,2.0
e5_mae_atr,E5,adverse_excursion,all,8,0.5711236200615661,0.570243041423597,7,2.625
e5_mae_atr,E5,adverse_excursion,2010-2014,1,0.2777777777777778,0.2777777777777778,0,2.0
e5_mae_atr,E5,adverse_excursion,2020-2026,1,0.6190476190476191,0.6190476190476191,1,2.0
e5_max_pullback_atr,E5,pullback,all,8,0.49814446210345464,0.4825132006315517,3,2.625
e5_max_pullback_atr,E5,pullback,2010-2014,1,0.38888888888888884,0.38888888888888884,0,2.0
e5_max_pullback_atr,E5,pullback,2020-2026,1,0.7380952380952381,0.7380952380952381,1,2.0
e5_activity_ratio20,E5,activity_expansion,all,7,0.585916451923382,0.5407306763285024,6,2.7142857142857144
e5_bars_to_half_atr,E5,response_speed,all,8,0.5738515527200384,0.5719645433931149,7,2.625
e5_bars_to_half_atr,E5,response_speed,2010-2014,1,0.19444444444444445,0.19444444444444445,0,2.0
e5_bars_to_half_atr,E5,response_speed,2020-2026,1,0.44047619047619047,0.44047619047619047,0,2.0
e10_dir_eff,E10,baseline_efficiency,all,7,0.6411727731674125,0.6131018518518518,6,2.7142857142857144
e10_favorable_day_share,E10,consistency,all,7,0.48195863318924886,0.4771241830065359,3,2.7142857142857144
e10_new_high_rate,E10,extension,all,7,0.5778682100448556,0.5682060185185186,6,2.7142857142857144
e10_mae_atr,E10,adverse_excursion,all,7,0.49998910220562326,0.48655650209926526,3,2.7142857142857144
e10_max_pullback_atr,E10,pullback,all,7,0.41471937863506086,0.4213425925925926,0,2.7142857142857144
e10_activity_ratio20,E10,activity_expansion,all,5,0.5908774697594039,0.5897985347985348,5,2.8
e10_bars_to_half_atr,E10,response_speed,all,7,0.5397725645457204,0.5491113266606688,5,2.7142857142857144
