feature,information_set,family,stage,markets,eq_market_mean_auc,markets_auc_gt_0_5
e5_cum_atr,E5,baseline_progress,Markup,8,0.7790972851794341,8
e5_cum_atr,E5,baseline_progress,Markdown,9,0.777658261691044,9
e5_dir_eff,E5,baseline_efficiency,Markup,8,0.7697369801445864,8
e5_dir_eff,E5,baseline_efficiency,Markdown,9,0.7582484880625935,9
e5_favorable_day_share,E5,consistency,Markup,8,0.6925242549299613,8
e5_favorable_day_share,E5,consistency,Markdown,9,0.6751751882659804,9
e5_new_high_rate,E5,extension,Markup,8,0.7331583698583451,8
e5_new_high_rate,E5,extension,Markdown,9,0.6979701506080781,9
e5_mae_atr,E5,adverse_excursion,Markup,8,0.710830150799719,8
e5_mae_atr,E5,adverse_excursion,Markdown,9,0.7105496362418386,9
e5_max_pullback_atr,E5,pullback,Markup,8,0.6459514713823078,8
e5_max_pullback_atr,E5,pullback,Markdown,9,0.6522007905621852,9
e5_activity_ratio20,E5,activity_expansion,Markup,8,0.5983644679634266,6
e5_activity_ratio20,E5,activity_expansion,Markdown,9,0.580513452445511,8
e5_bars_to_half_atr,E5,response_speed,Markup,8,0.6630246707921956,7
e5_bars_to_half_atr,E5,response_speed,Markdown,9,0.7056592038382538,9
e10_cum_atr,E10,baseline_progress,Markup,8,0.8740508613807505,8
e10_cum_atr,E10,baseline_progress,Markdown,9,0.8337927595038147,9
e10_dir_eff,E10,baseline_efficiency,Markup,8,0.8438930419021144,8
e10_dir_eff,E10,baseline_efficiency,Markdown,9,0.8065808248280751,9
e10_favorable_day_share,E10,consistency,Markup,8,0.7473356770956318,7
e10_favorable_day_share,E10,consistency,Markdown,9,0.658023517431724,9
e10_new_high_rate,E10,extension,Markup,8,0.7886791067061354,8
e10_new_high_rate,E10,extension,Markdown,9,0.7448725510757803,9
e10_mae_atr,E10,adverse_excursion,Markup,8,0.7359506602891179,8
e10_mae_atr,E10,adverse_excursion,Markdown,9,0.7204338729532894,9
e10_max_pullback_atr,E10,pullback,Markup,8,0.6288397029828481,8
e10_max_pullback_atr,E10,pullback,Markdown,9,0.5900917283445423,8
e10_activity_ratio20,E10,activity_expansion,Markup,8,0.7012677566190159,8
e10_activity_ratio20,E10,activity_expansion,Markdown,9,0.6181709025071378,8
e10_bars_to_half_atr,E10,response_speed,Markup,8,0.6583073031236464,7
e10_bars_to_half_atr,E10,response_speed,Markdown,9,0.6878289669408653,9
