feature,information_set,family,quality_quintile,markets,episodes,eq_market_large_share,eq_market_failed_share
e5_cum_atr,E5,baseline_progress,1,9,306,0.059443970551050725,0.8737600846259289
e5_cum_atr,E5,baseline_progress,2,9,300,0.09856168095415672,0.8154618444305716
e5_cum_atr,E5,baseline_progress,3,9,299,0.17449967946942802,0.638001052503794
e5_cum_atr,E5,baseline_progress,4,9,300,0.17944011607132154,0.594234347668937
e5_cum_atr,E5,baseline_progress,5,9,307,0.41172492272161737,0.31906708381409626
e5_dir_eff,E5,baseline_efficiency,1,9,306,0.06270118032999965,0.8664686642910304
e5_dir_eff,E5,baseline_efficiency,2,9,300,0.08562932183807544,0.8164634212104454
e5_dir_eff,E5,baseline_efficiency,3,9,299,0.19169045022609021,0.6214501163860684
e5_dir_eff,E5,baseline_efficiency,4,9,300,0.21821436078872555,0.5483850088319989
e5_dir_eff,E5,baseline_efficiency,5,9,307,0.36597833521301615,0.3864679429769692
e5_favorable_day_share,E5,consistency,1,9,276,0.09651087892746132,0.82656168470459
e5_favorable_day_share,E5,consistency,2,9,489,0.13959527307312522,0.7178145648634618
e5_favorable_day_share,E5,consistency,4,9,486,0.18880511014005893,0.6167622302043361
e5_favorable_day_share,E5,consistency,5,9,261,0.36266301439333104,0.38363552807462376
e5_new_high_rate,E5,extension,1,9,343,0.08859637174186491,0.8370930457142771
e5_new_high_rate,E5,extension,2,8,373,0.12206331762405541,0.7416002314155622
e5_new_high_rate,E5,extension,3,5,175,0.17768883415435138,0.6549466338259442
e5_new_high_rate,E5,extension,4,8,307,0.20310736552880646,0.6040299850710427
e5_new_high_rate,E5,extension,5,9,314,0.3422442187107085,0.38245437617351563
e5_mae_atr,E5,adverse_excursion,1,9,306,0.07551221753128073,0.854146094498212
e5_mae_atr,E5,adverse_excursion,2,9,300,0.13116111234418715,0.754025607913137
e5_mae_atr,E5,adverse_excursion,3,9,299,0.16525410164543272,0.6615351686383545
e5_mae_atr,E5,adverse_excursion,4,9,213,0.21427317041352129,0.5678539859826409
e5_mae_atr,E5,adverse_excursion,5,9,394,0.3113460379949962,0.4408653794087282
e5_max_pullback_atr,E5,pullback,1,9,306,0.11157951420303129,0.805303328529253
e5_max_pullback_atr,E5,pullback,2,9,300,0.13394406587956367,0.7178146781475573
e5_max_pullback_atr,E5,pullback,3,9,299,0.20540399443382049,0.6391089919145789
e5_max_pullback_atr,E5,pullback,4,9,300,0.22078747805892743,0.5861502404284286
e5_max_pullback_atr,E5,pullback,5,9,307,0.25436513181237314,0.4894102046403089
e5_activity_ratio20,E5,activity_expansion,1,9,248,0.12556230915364042,0.7329301089699528
e5_activity_ratio20,E5,activity_expansion,2,9,244,0.15455939535223423,0.6974243897517555
e5_activity_ratio20,E5,activity_expansion,3,9,246,0.18823509829701782,0.6128729486247322
e5_activity_ratio20,E5,activity_expansion,4,9,244,0.17068090597502364,0.6628514018539594
e5_activity_ratio20,E5,activity_expansion,5,9,251,0.24719523586912645,0.5987090617723573
e5_bars_to_half_atr,E5,response_speed,1,3,215,0.13223443223443224,0.7630480630480632
e5_bars_to_half_atr,E5,response_speed,2,9,440,0.11691683336953476,0.7450041857532581
e5_bars_to_half_atr,E5,response_speed,3,9,228,0.2167131053714978,0.5807878196749703
e5_bars_to_half_atr,E5,response_speed,4,9,255,0.2441297566225014,0.5123643800927081
e5_bars_to_half_atr,E5,response_speed,5,9,374,0.27173023625404574,0.5142200935454904
e10_cum_atr,E10,baseline_progress,1,9,256,0.06845478483409519,0.8782977147919677
e10_cum_atr,E10,baseline_progress,2,9,252,0.09008910388220732,0.7673884707867716
e10_cum_atr,E10,baseline_progress,3,9,251,0.17221690080885482,0.6457505374296979
e10_cum_atr,E10,baseline_progress,4,9,252,0.274433114488087,0.4502364469131086
e10_cum_atr,E10,baseline_progress,5,9,256,0.4992032878527131,0.16538365130319155
e10_dir_eff,E10,baseline_efficiency,1,9,256,0.05226815485436175,0.8830202945145474
e10_dir_eff,E10,baseline_efficiency,2,9,252,0.10953375378662736,0.7518586552569562
e10_dir_eff,E10,baseline_efficiency,3,9,251,0.22924328179825432,0.5930343360065999
e10_dir_eff,E10,baseline_efficiency,4,9,252,0.262602646910493,0.46333018604382925
e10_dir_eff,E10,baseline_efficiency,5,9,256,0.45268571116272266,0.2131905920699024
e10_favorable_day_share,E10,consistency,1,9,215,0.13805548561646122,0.7600644161619772
e10_favorable_day_share,E10,consistency,2,6,188,0.15467836257309941,0.7271182182509414
e10_favorable_day_share,E10,consistency,3,9,332,0.18355152161874852,0.6055214813198007
e10_favorable_day_share,E10,consistency,4,9,322,0.2549614451274148,0.5241717421332877
e10_favorable_day_share,E10,consistency,5,9,210,0.4053222961825112,0.26939750810718555
e10_new_high_rate,E10,extension,1,9,282,0.0841472586588578,0.8418215533331401
e10_new_high_rate,E10,extension,2,9,250,0.14540652107215574,0.7061541083832106
e10_new_high_rate,E10,extension,3,9,223,0.2365672599005932,0.5341574474907809
e10_new_high_rate,E10,extension,4,9,227,0.2434272649339729,0.5217927965089988
e10_new_high_rate,E10,extension,5,9,285,0.38941930916223727,0.293789588075256
e10_mae_atr,E10,adverse_excursion,1,9,256,0.10445745417009784,0.8059062551878644
e10_mae_atr,E10,adverse_excursion,2,9,252,0.15857844708419422,0.6606635799789223
e10_mae_atr,E10,adverse_excursion,3,9,251,0.20432858967341724,0.6150334885467319
