feature,information_set,family,orientation,scope,markets,large_n,failed_n,eq_market_mean_auc,eq_market_median_auc,markets_auc_gt_0_5,eq_market_large_median,eq_market_failed_median
e5_cum_atr,E5,baseline_progress,1,all,9,308,946,0.7761125903725333,0.7886728655959425,9,1.4648536938037942,-0.40777521935538535
e5_cum_atr,E5,baseline_progress,1,2010-2014,7,40,99,0.7770234026625004,0.8166666666666667,7,0.7725624886277538,-0.7519603158068823
e5_cum_atr,E5,baseline_progress,1,2015-2019,4,15,93,0.7668816690555821,0.7728937728937729,4,1.5999436531109297,-0.07453236271761798
e5_cum_atr,E5,baseline_progress,1,2020-2026,7,32,182,0.7226084279708803,0.8133333333333334,6,0.7110764288024262,-0.07158663036641687
e5_dir_eff,E5,baseline_efficiency,1,all,9,308,946,0.7554337968396588,0.7645940809122997,9,0.42399408578081715,-0.16524306735419705
e5_dir_eff,E5,baseline_efficiency,1,2010-2014,7,40,99,0.7651173388015494,0.8,7,0.23754500348439142,-0.23108892218542487
e5_dir_eff,E5,baseline_efficiency,1,2015-2019,4,15,93,0.7468605669692626,0.7473443223443224,4,0.4415868337850367,-0.08129078704971776
e5_dir_eff,E5,baseline_efficiency,1,2020-2026,7,32,182,0.7325208804419383,0.8133333333333334,6,0.4313137420496232,-0.020009852302436425
e5_favorable_day_share,E5,consistency,1,all,9,308,946,0.6833919953804267,0.6927786499215071,9,0.6222222222222222,0.4
e5_favorable_day_share,E5,consistency,1,2010-2014,7,40,99,0.7560449825863359,0.725,7,0.6571428571428571,0.4
e5_favorable_day_share,E5,consistency,1,2015-2019,4,15,93,0.6486263736263737,0.6643374741200828,3,0.675,0.42500000000000004
e5_favorable_day_share,E5,consistency,1,2020-2026,7,32,182,0.6638101397033475,0.7217741935483871,5,0.6,0.4571428571428572
e5_new_high_rate,E5,extension,1,all,9,308,946,0.7104582565215183,0.7160841033882416,9,0.48888888888888893,0.2222222222222222
e5_new_high_rate,E5,extension,1,2010-2014,7,40,99,0.7310991765127104,0.7333333333333333,7,0.4571428571428572,0.2285714285714286
e5_new_high_rate,E5,extension,1,2015-2019,4,15,93,0.6857481286829112,0.692287784679089,4,0.525,0.35000000000000003
e5_new_high_rate,E5,extension,1,2020-2026,7,32,182,0.7393154648063484,0.83,6,0.5285714285714286,0.2857142857142857
e5_mae_atr,E5,adverse_excursion,-1,all,9,308,946,0.7119936907317543,0.6966122202056866,9,0.21823454301501505,1.0060141751580578
e5_mae_atr,E5,adverse_excursion,-1,2010-2014,7,40,99,0.7167496663737266,0.7714285714285715,6,0.6340566525011218,1.2114204447578807
