policy,era,episodes,markets,eq_mean,positive_markets,median_pf
p0_persistence_gentle,2010-2014,248,9,0.727285362623983,8,2.1817360693159653
p0_persistence_gentle,2015-2019,290,9,-0.09750005252363549,2,0.8061128174512635
p0_persistence_gentle,2020-2026,348,9,0.09810470279994735,5,1.0558255596571726
p1_excursion_gentle,2010-2014,248,9,0.7335742859945875,8,2.060365663435289
p1_excursion_gentle,2015-2019,290,9,-0.17931074755507717,2,0.6469923168358988
p1_excursion_gentle,2020-2026,348,9,0.08668612255930931,6,1.051458066529092
p2_proof_eff_gentle,2010-2014,248,9,0.3015905430379657,7,1.518667751998189
p2_proof_eff_gentle,2015-2019,290,9,-0.09029871358670455,3,0.799437633838744
p2_proof_eff_gentle,2020-2026,348,9,-0.03206850283511867,4,0.9606998060549976
p3_proof_eff_extension_gentle,2010-2014,248,9,0.42462536261445405,8,1.7658084100073628
p3_proof_eff_extension_gentle,2015-2019,290,9,-0.13327303321237147,3,0.7398294849714959
p3_proof_eff_extension_gentle,2020-2026,348,9,0.05529640691745433,4,0.9170174677752013
