date,open,high,low,close
2012-12-04,1.042120,1.048380,1.040850,1.046570
2012-12-05,1.046540,1.048310,1.044150,1.045120
2012-12-06,1.045130,1.051460,1.043990,1.046980
2012-12-07,1.046990,1.049590,1.045890,1.048470
2012-12-10,1.048560,1.050490,1.046430,1.048490
2012-12-11,1.048510,1.053930,1.046020,1.053480
2012-12-12,1.053480,1.058480,1.052190,1.054850
2012-12-13,1.054850,1.056280,1.050720,1.052430
2012-12-14,1.052420,1.057700,1.050900,1.056510
2012-12-17,1.056710,1.056710,1.052530,1.054470
2012-12-18,1.054460,1.055600,1.051500,1.051730
2012-12-19,1.051740,1.053190,1.047220,1.047470
2012-12-20,1.047490,1.049900,1.046080,1.047620
2012-12-21,1.047620,1.048210,1.039330,1.039650
2012-12-24,1.040600,1.041550,1.035720,1.036520
2012-12-26,1.036330,1.038540,1.034400,1.037100
2012-12-27,1.037100,1.038810,1.034530,1.036380
2012-12-28,1.036380,1.039560,1.036010,1.037060
2012-12-31,1.037400,1.040690,1.036370,1.038230
2013-01-01,1.039490,1.040260,1.037730,1.037760
2013-01-02,1.037800,1.052290,1.037410,1.050150
2013-01-03,1.050160,1.052680,1.045570,1.045790
2013-01-04,1.045790,1.048610,1.039400,1.047830
2013-01-07,1.050920,1.051060,1.046660,1.050590
2013-01-08,1.050580,1.051520,1.046870,1.050270
2013-01-09,1.050260,1.053470,1.048560,1.050600
2013-01-10,1.050590,1.059710,1.049270,1.059100
2013-01-11,1.059130,1.059380,1.052910,1.053310
2013-01-14,1.053130,1.057700,1.052060,1.055720
2013-01-15,1.055710,1.056900,1.052520,1.055900
2013-01-16,1.055910,1.057880,1.053110,1.056250
2013-01-17,1.056250,1.056570,1.049350,1.054190
2013-01-18,1.054200,1.055570,1.048470,1.050820
2013-01-21,1.050130,1.052510,1.049150,1.051170
2013-01-22,1.051180,1.057800,1.050330,1.055900
2013-01-23,1.055930,1.056690,1.052610,1.053330
2013-01-24,1.053340,1.054660,1.044280,1.045180
2013-01-25,1.045180,1.046770,1.040150,1.042250
2013-01-28,1.041550,1.042890,1.038390,1.040490
2013-01-29,1.040510,1.047450,1.040460,1.046560
2013-01-30,1.046550,1.047510,1.039820,1.041480
2013-01-31,1.041470,1.045050,1.037910,1.043090
2013-02-01,1.043070,1.044440,1.036040,1.040530
2013-02-04,1.041620,1.044130,1.040780,1.043250
2013-02-05,1.043260,1.045600,1.036990,1.038480
2013-02-06,1.038490,1.039900,1.029540,1.030820
2013-02-07,1.030810,1.033810,1.027290,1.028510
2013-02-08,1.028520,1.034730,1.025420,1.031660
2013-02-11,1.030790,1.032350,1.024860,1.025930
2013-02-12,1.025950,1.032110,1.022580,1.031020
2013-02-13,1.031010,1.037000,1.030370,1.035670
2013-02-14,1.035660,1.037120,1.032580,1.036230
2013-02-15,1.036240,1.037340,1.028650,1.030330
2013-02-18,1.028680,1.031470,1.027420,1.030140
2013-02-19,1.030120,1.036640,1.030040,1.035260
2013-02-20,1.035250,1.036700,1.023640,1.025790
2013-02-21,1.025780,1.030610,1.022010,1.028980
2013-02-22,1.028950,1.034010,1.026930,1.031770
2013-02-25,1.029450,1.032800,1.024720,1.026120
2013-02-26,1.026080,1.029100,1.019980,1.022200
2013-02-27,1.022210,1.024420,1.018170,1.021810
2013-02-28,1.021800,1.028940,1.019820,1.021900
2013-03-01,1.021880,1.024130,1.018160,1.020210
2013-03-04,1.019930,1.020420,1.011210,1.019100
2013-03-05,1.019080,1.026210,1.019050,1.025460
2013-03-06,1.025490,1.029890,1.022480,1.022550
2013-03-07,1.022540,1.028920,1.021840,1.026960
2013-03-08,1.026980,1.028040,1.021080,1.023190
2013-03-11,1.020390,1.028450,1.020360,1.027270
2013-03-12,1.027270,1.033490,1.026640,1.031520
2013-03-13,1.031520,1.033350,1.028170,1.028890
2013-03-14,1.028880,1.040080,1.028750,1.037650
2013-03-15,1.037640,1.041320,1.036070,1.040730
2013-03-18,1.035840,1.040910,1.034350,1.039170
2013-03-19,1.039160,1.040510,1.035050,1.036750
2013-03-20,1.036750,1.040480,1.035500,1.037090
2013-03-21,1.037070,1.045770,1.036290,1.043290
2013-03-22,1.043280,1.045940,1.042060,1.044240
2013-03-25,1.044560,1.047910,1.043260,1.046350
2013-03-26,1.046380,1.049640,1.044680,1.048040
2013-03-27,1.048030,1.048160,1.041750,1.044300
2013-03-28,1.044310,1.045670,1.039630,1.041150
2013-03-29,1.041140,1.042670,1.039730,1.041630
2013-04-01,1.041220,1.043090,1.038570,1.042410
2013-04-02,1.042410,1.047880,1.042370,1.045370
