date,open,high,low,close
2012-12-04,1.305840,1.310730,1.304530,1.309350
2012-12-05,1.309340,1.312530,1.305960,1.307010
2012-12-06,1.307020,1.308570,1.295000,1.295710
2012-12-07,1.295730,1.297180,1.287690,1.292610
2012-12-10,1.289920,1.294580,1.288550,1.294000
2012-12-11,1.294000,1.301400,1.292830,1.300780
2012-12-12,1.300800,1.309600,1.299510,1.306980
2012-12-13,1.307000,1.309980,1.304050,1.307450
2012-12-14,1.307480,1.317270,1.306570,1.316220
2012-12-17,1.318210,1.318630,1.314370,1.315930
2012-12-18,1.315940,1.323760,1.315580,1.322350
2012-12-19,1.322370,1.330760,1.318890,1.319860
2012-12-20,1.319880,1.329420,1.319880,1.324540
2012-12-21,1.324610,1.324640,1.315700,1.318670
2012-12-24,1.317900,1.323260,1.317060,1.318700
2012-12-26,1.318670,1.325340,1.318260,1.322030
2012-12-27,1.322040,1.328330,1.320140,1.323420
2012-12-28,1.323440,1.325620,1.316540,1.321460
2012-12-31,1.321570,1.323380,1.317160,1.319640
2013-01-01,1.320360,1.321920,1.319770,1.320530
2013-01-02,1.320490,1.329920,1.315670,1.318880
2013-01-03,1.318890,1.318890,1.302460,1.303660
2013-01-04,1.303640,1.308840,1.299750,1.306770
2013-01-07,1.307790,1.312760,1.301650,1.312520
2013-01-08,1.312530,1.313880,1.305690,1.308020
2013-01-09,1.308040,1.309530,1.303640,1.305400
2013-01-10,1.305380,1.327890,1.303830,1.326680
2013-01-11,1.326690,1.336440,1.324810,1.334160
2013-01-14,1.336210,1.340310,1.333570,1.337650
2013-01-15,1.337620,1.339300,1.326640,1.329720
2013-01-16,1.329720,1.332420,1.325640,1.329010
2013-01-17,1.329050,1.338710,1.326960,1.337430
2013-01-18,1.337410,1.339790,1.327980,1.331950
2013-01-21,1.331070,1.333150,1.329910,1.331530
2013-01-22,1.331490,1.337110,1.326670,1.332130
2013-01-23,1.332100,1.335380,1.326420,1.330940
2013-01-24,1.330950,1.339220,1.328590,1.337900
2013-01-25,1.337900,1.347850,1.335000,1.346290
2013-01-28,1.345980,1.347650,1.342440,1.344470
2013-01-29,1.344460,1.349630,1.341400,1.348670
2013-01-30,1.348660,1.358570,1.348160,1.356770
2013-01-31,1.356760,1.359310,1.354090,1.358690
2013-02-01,1.358640,1.371060,1.358280,1.363910
2013-02-04,1.364880,1.365320,1.349850,1.350260
2013-02-05,1.350240,1.359690,1.345780,1.358160
2013-02-06,1.358150,1.359530,1.349390,1.351750
2013-02-07,1.351740,1.357650,1.337050,1.339430
2013-02-08,1.339450,1.342820,1.335320,1.336140
2013-02-11,1.336820,1.342650,1.335620,1.340160
2013-02-12,1.340150,1.347510,1.336400,1.345180
2013-02-13,1.345190,1.351930,1.342600,1.344840
2013-02-14,1.344830,1.345460,1.331470,1.335730
2013-02-15,1.335720,1.339290,1.330620,1.335850
2013-02-18,1.334840,1.337820,1.332150,1.335150
2013-02-19,1.335180,1.339540,1.332940,1.338470
2013-02-20,1.338460,1.343160,1.327090,1.328740
2013-02-21,1.328720,1.328880,1.316120,1.319160
2013-02-22,1.319150,1.324430,1.314510,1.319070
2013-02-25,1.319040,1.331830,1.304870,1.305740
2013-02-26,1.305750,1.312090,1.301800,1.306450
2013-02-27,1.306460,1.314650,1.304150,1.313520
2013-02-28,1.313520,1.316050,1.305270,1.306650
2013-03-01,1.306640,1.310060,1.296640,1.301800
2013-03-04,1.301360,1.303040,1.298220,1.302410
2013-03-05,1.302520,1.307420,1.301220,1.304390
2013-03-06,1.304380,1.306980,1.296460,1.297650
2013-03-07,1.297690,1.311810,1.297310,1.310420
2013-03-08,1.310430,1.313410,1.295500,1.300420
2013-03-11,1.298920,1.305350,1.297930,1.303440
2013-03-12,1.303410,1.307420,1.299090,1.302770
2013-03-13,1.302770,1.306460,1.292280,1.295680
2013-03-14,1.295680,1.303110,1.291100,1.301240
2013-03-15,1.301240,1.310690,1.300230,1.307540
2013-03-18,1.290710,1.299540,1.288170,1.294250
2013-03-19,1.294230,1.296940,1.284380,1.285780
2013-03-20,1.285780,1.297760,1.285660,1.293300
2013-03-21,1.293310,1.295510,1.287990,1.289800
2013-03-22,1.289810,1.300950,1.288800,1.298670
2013-03-25,1.297240,1.304790,1.282960,1.285930
2013-03-26,1.285960,1.288950,1.282860,1.286330
2013-03-27,1.286320,1.286680,1.275090,1.277850
2013-03-28,1.277860,1.284430,1.275500,1.281440
2013-03-29,1.281440,1.283680,1.279300,1.281480
2013-04-01,1.281120,1.286770,1.277100,1.284350
2013-04-02,1.284310,1.287750,1.280860,1.282230
2013-04-03,1.282210,1.286390,1.278980,1.284270
2013-04-04,1.284270,1.294870,1.274540,1.293300
2013-04-05,1.293300,1.303970,1.290050,1.299150
2013-04-08,1.299370,1.303760,1.296830,1.301840
2013-04-09,1.301840,1.310290,1.300450,1.308120
2013-04-10,1.308110,1.312140,1.305210,1.306670
2013-04-11,1.306680,1.313800,1.304310,1.310650
2013-04-12,1.310650,1.312620,1.303660,1.310820
2013-04-15,1.310250,1.310940,1.302100,1.304660
2013-04-16,1.304660,1.320150,1.302750,1.317900
2013-04-17,1.317900,1.319950,1.300110,1.303550
2013-04-18,1.303550,1.309610,1.302080,1.304830
2013-04-19,1.304850,1.312820,1.304700,1.305100
2013-04-22,1.306910,1.308400,1.301500,1.306150
2013-04-23,1.306150,1.308310,1.297300,1.300060
2013-04-24,1.300100,1.303400,1.295470,1.301110
2013-04-25,1.301110,1.309330,1.298870,1.300880
2013-04-26,1.300900,1.304750,1.299050,1.302670
2013-04-29,1.305850,1.311630,1.303180,1.309290
2013-04-30,1.309290,1.318580,1.305400,1.316640
2013-05-01,1.316670,1.324270,1.316050,1.318360
2013-05-02,1.318420,1.321760,1.303760,1.306180
2013-05-03,1.306200,1.315820,1.303230,1.311310
2013-05-06,1.311700,1.314060,1.305340,1.307270
2013-05-07,1.307280,1.313150,1.306770,1.307870
2013-05-08,1.307870,1.319440,1.307150,1.316000
2013-05-09,1.315920,1.317690,1.300980,1.304410
2013-05-10,1.304460,1.305060,1.293500,1.298530
2013-05-13,1.297560,1.299820,1.294150,1.298200
2013-05-14,1.298170,1.302930,1.291290,1.293130
2013-05-15,1.293130,1.294240,1.284300,1.288020
2013-05-16,1.288080,1.292970,1.284630,1.288290
2013-05-17,1.288350,1.288970,1.279620,1.283630
2013-05-20,1.284460,1.290060,1.281920,1.288390
2013-05-21,1.288400,1.293330,1.284130,1.290610
2013-05-22,1.290550,1.299800,1.283350,1.285290
2013-05-23,1.285270,1.295640,1.282140,1.293210
2013-05-24,1.293220,1.299330,1.290430,1.292780
2013-05-27,1.293630,1.294850,1.291520,1.293350
2013-05-28,1.293320,1.294960,1.284930,1.285220
2013-05-29,1.285220,1.297750,1.283780,1.294010
2013-05-30,1.293980,1.306140,1.293340,1.304400
2013-05-31,1.304580,1.305930,1.294420,1.299560
2013-06-03,1.299220,1.310740,1.295550,1.307000
2013-06-04,1.306990,1.310120,1.304260,1.308230
2013-06-05,1.308210,1.311570,1.305320,1.309230
2013-06-06,1.309230,1.330450,1.307490,1.324530
2013-06-07,1.324520,1.328440,1.319150,1.321680
2013-06-10,1.319170,1.326870,1.317720,1.325660
2013-06-11,1.325670,1.331710,1.323220,1.331370
2013-06-12,1.331350,1.335890,1.326560,1.333700
2013-06-13,1.333690,1.338980,1.327860,1.337560
2013-06-14,1.337340,1.337340,1.329470,1.334450
2013-06-17,1.334870,1.338030,1.331840,1.336200
2013-06-18,1.336230,1.341560,1.332580,1.339400
2013-06-19,1.339410,1.341580,1.326210,1.329590
2013-06-20,1.329590,1.330150,1.316120,1.322700
2013-06-21,1.322680,1.325410,1.309880,1.312090
2013-06-24,1.310420,1.314380,1.305920,1.312320
2013-06-25,1.312320,1.315080,1.306510,1.308210
2013-06-26,1.308220,1.308700,1.298480,1.300670
2013-06-27,1.301160,1.305450,1.299990,1.303770
2013-06-28,1.303780,1.310220,1.299110,1.300780
2013-07-01,1.301440,1.307000,1.300520,1.306140
2013-07-02,1.306140,1.307800,1.296360,1.298160
2013-07-03,1.298150,1.303140,1.292300,1.300840
2013-07-04,1.300840,1.302320,1.288310,1.291200
2013-07-05,1.291140,1.291670,1.280610,1.282910
2013-07-08,1.282040,1.288190,1.281170,1.286790
2013-07-09,1.286800,1.289810,1.275530,1.278630
2013-07-10,1.278620,1.302390,1.276470,1.302350
2013-07-11,1.302360,1.320660,1.300600,1.309570
2013-07-12,1.309580,1.310010,1.299920,1.306510
2013-07-15,1.306640,1.307880,1.299340,1.306600
2013-07-16,1.306600,1.317420,1.305240,1.315330
2013-07-17,1.315410,1.317810,1.308310,1.312280
2013-07-18,1.312280,1.312550,1.306680,1.311130
2013-07-19,1.311150,1.315390,1.308910,1.314080
2013-07-22,1.313660,1.321790,1.313580,1.318420
2013-07-23,1.318390,1.323860,1.316340,1.322320
2013-07-24,1.322330,1.325600,1.317720,1.319720
2013-07-25,1.319690,1.329560,1.316550,1.327590
2013-07-26,1.327580,1.329680,1.325260,1.327650
2013-07-29,1.327920,1.329490,1.323930,1.326200
2013-07-30,1.326220,1.330090,1.323460,1.326260
2013-07-31,1.326250,1.334460,1.321400,1.329630
2013-08-01,1.330220,1.331080,1.319430,1.320960
2013-08-02,1.320970,1.329370,1.318770,1.327980
2013-08-05,1.328130,1.330030,1.323270,1.326110
2013-08-06,1.326120,1.332290,1.324600,1.330730
2013-08-07,1.330800,1.334520,1.326550,1.333650
2013-08-08,1.333650,1.340020,1.332820,1.338140
2013-08-09,1.338090,1.339030,1.333260,1.333870
2013-08-12,1.333660,1.334390,1.327720,1.329900
