date,open,high,low,close
2012-12-04,1.609440,1.613030,1.608590,1.609990
2012-12-05,1.609980,1.611760,1.608230,1.609140
2012-12-06,1.609150,1.612720,1.603540,1.604150
2012-12-07,1.604150,1.606040,1.600160,1.603740
2012-12-10,1.603350,1.609600,1.601300,1.607470
2012-12-11,1.607430,1.612070,1.606850,1.611450
2012-12-12,1.611460,1.617080,1.609430,1.613710
2012-12-13,1.613700,1.615270,1.608450,1.611020
2012-12-14,1.611010,1.617680,1.610300,1.617180
2012-12-17,1.617960,1.621590,1.615680,1.619810
2012-12-18,1.619790,1.626860,1.619480,1.624500
2012-12-19,1.624540,1.630610,1.623790,1.624930
2012-12-20,1.624960,1.629540,1.624120,1.627500
2012-12-21,1.627550,1.627580,1.615120,1.616860
2012-12-24,1.615690,1.620550,1.610060,1.613200
2012-12-26,1.612620,1.617010,1.610700,1.613280
2012-12-27,1.613350,1.620180,1.606620,1.610050
2012-12-28,1.610060,1.616990,1.607810,1.614550
2012-12-31,1.616440,1.627370,1.613310,1.624090
2013-01-01,1.624260,1.625690,1.622450,1.625130
2013-01-02,1.625170,1.638060,1.622480,1.625190
2013-01-03,1.625180,1.625290,1.605720,1.608250
2013-01-04,1.608220,1.609850,1.600990,1.606780
2013-01-07,1.607700,1.612750,1.602050,1.612660
2013-01-08,1.612650,1.612660,1.602850,1.605800
2013-01-09,1.605770,1.607450,1.599250,1.601640
2013-01-10,1.601630,1.617610,1.600380,1.616250
2013-01-11,1.616290,1.616990,1.608880,1.612710
2013-01-14,1.612770,1.615420,1.603160,1.607250
2013-01-15,1.607220,1.610010,1.603230,1.605970
2013-01-16,1.605980,1.608000,1.597520,1.599750
2013-01-17,1.599770,1.603880,1.595490,1.599650
2013-01-18,1.599640,1.599760,1.585400,1.586600
2013-01-21,1.585280,1.589320,1.580570,1.583490
2013-01-22,1.583500,1.588300,1.580920,1.583740
2013-01-23,1.583740,1.589160,1.580150,1.582990
2013-01-24,1.582980,1.585060,1.575570,1.578940
2013-01-25,1.578970,1.582650,1.574530,1.579550
2013-01-28,1.577770,1.578520,1.567420,1.569010
2013-01-29,1.568980,1.577320,1.568960,1.575680
2013-01-30,1.575680,1.581510,1.572570,1.579450
2013-01-31,1.579460,1.587480,1.577450,1.585870
2013-02-01,1.585880,1.587820,1.568970,1.569130
2013-02-04,1.570360,1.577130,1.569290,1.574980
2013-02-05,1.574980,1.580390,1.563040,1.566020
2013-02-06,1.566010,1.567760,1.563030,1.566260
2013-02-07,1.566250,1.576740,1.564470,1.571320
2013-02-08,1.571310,1.584300,1.570460,1.579690
2013-02-11,1.578960,1.580940,1.564530,1.564810
2013-02-12,1.564800,1.568260,1.557340,1.567770
2013-02-13,1.567750,1.568840,1.552360,1.553720
2013-02-14,1.553730,1.554230,1.547460,1.549430
2013-02-15,1.549440,1.554940,1.546220,1.551620
2013-02-18,1.549900,1.550760,1.543770,1.546870
2013-02-19,1.546870,1.550350,1.541410,1.542140
2013-02-20,1.542160,1.545010,1.519270,1.523650
2013-02-21,1.523680,1.527310,1.513050,1.525120
2013-02-22,1.525110,1.531920,1.516050,1.516050
2013-02-25,1.510720,1.519780,1.508680,1.516280
2013-02-26,1.516270,1.521830,1.511310,1.512890
2013-02-27,1.512900,1.518760,1.508030,1.516010
2013-02-28,1.515990,1.522160,1.514860,1.516690
2013-03-01,1.516720,1.518530,1.498570,1.503650
2013-03-04,1.503020,1.511620,1.500000,1.511400
2013-03-05,1.511400,1.519820,1.509400,1.512520
2013-03-06,1.512540,1.515240,1.496590,1.498260
2013-03-07,1.498240,1.508210,1.496730,1.501190
2013-03-08,1.501180,1.504680,1.488640,1.492220
2013-03-11,1.490770,1.494280,1.486570,1.490880
2013-03-12,1.490860,1.491570,1.482870,1.489690
2013-03-13,1.489710,1.498120,1.489210,1.491960
2013-03-14,1.491960,1.511830,1.491480,1.508290
2013-03-15,1.508280,1.517620,1.506830,1.511280
2013-03-18,1.510990,1.514360,1.507100,1.509340
2013-03-19,1.509330,1.514410,1.507290,1.509200
2013-03-20,1.509190,1.518580,1.502670,1.509140
2013-03-21,1.509150,1.520890,1.508780,1.517100
2013-03-22,1.517140,1.524740,1.517140,1.522690
2013-03-25,1.523440,1.525990,1.514330,1.517520
2013-03-26,1.517500,1.520700,1.513510,1.516320
2013-03-27,1.516310,1.518100,1.509250,1.512760
2013-03-28,1.512750,1.520040,1.511180,1.519080
2013-03-29,1.519070,1.521820,1.517710,1.519580
2013-04-01,1.519700,1.524140,1.517740,1.522610
2013-04-02,1.522610,1.525830,1.509870,1.510430
2013-04-03,1.510410,1.515800,1.507500,1.513200
2013-04-04,1.513190,1.524530,1.503320,1.522800
2013-04-05,1.522850,1.536300,1.519900,1.533570
2013-04-08,1.532940,1.535020,1.523860,1.526460
2013-04-09,1.526460,1.534130,1.524990,1.531870
2013-04-10,1.531870,1.534270,1.529240,1.532650
2013-04-11,1.532650,1.541130,1.531710,1.538500
2013-04-12,1.538450,1.540940,1.533720,1.533930
2013-04-15,1.533810,1.538440,1.526980,1.529180
2013-04-16,1.529200,1.537880,1.527250,1.536590
2013-04-17,1.536590,1.536880,1.521640,1.524120
2013-04-18,1.524100,1.531240,1.521770,1.527970
2013-04-19,1.527960,1.536750,1.522390,1.522880
2013-04-22,1.523110,1.529520,1.520350,1.528750
2013-04-23,1.528690,1.529730,1.519630,1.523630
2013-04-24,1.523620,1.528710,1.522610,1.526510
2013-04-25,1.526520,1.548000,1.526450,1.543410
2013-04-26,1.543410,1.549840,1.541850,1.547460
2013-04-29,1.548350,1.554560,1.547660,1.549320
2013-04-30,1.549320,1.556730,1.546750,1.553510
2013-05-01,1.553530,1.560510,1.552590,1.555410
2013-05-02,1.555460,1.559040,1.549630,1.553240
2013-05-03,1.553240,1.560140,1.548080,1.556830
2013-05-06,1.556580,1.559760,1.552060,1.553930
2013-05-07,1.553950,1.555180,1.544690,1.548110
2013-05-08,1.548110,1.559110,1.547030,1.554070
2013-05-09,1.554070,1.558750,1.542560,1.544730
2013-05-10,1.544730,1.545710,1.531390,1.535790
2013-05-13,1.535520,1.538450,1.527760,1.530210
2013-05-14,1.530240,1.533060,1.520630,1.521790
2013-05-15,1.521890,1.527270,1.517370,1.522520
2013-05-16,1.522470,1.532230,1.519770,1.527350
2013-05-17,1.527370,1.528100,1.515800,1.516660
2013-05-20,1.518600,1.528070,1.516560,1.525750
2013-05-21,1.525760,1.527610,1.511240,1.515000
2013-05-22,1.515040,1.517320,1.501960,1.504280
2013-05-23,1.504280,1.512810,1.501380,1.510820
2013-05-24,1.510780,1.514210,1.506360,1.511950
2013-05-27,1.512950,1.515580,1.508680,1.511050
