date,open,high,low,close
2018-01-01,87.9100036621,88.0009994507,87.8499984741,87.8809967041
2018-01-02,87.9499969482,88.3960037231,87.6610031128,87.9300003052
2018-01-03,87.9150009155,88.0920028687,87.6800003052,87.9000015259
2018-01-04,88.1340026855,88.6869964600,88.1029968262,88.1250000000
2018-01-05,88.6859970093,88.9769973755,88.4520034790,88.6699981689
2018-01-08,88.9199981689,89.0250015259,88.4700012207,88.9270019531
2018-01-09,88.7630004883,88.8379974365,87.8649978638,88.7600021362
2018-01-10,88.0830001831,88.1009979248,87.3610000610,88.0630035400
2018-01-11,87.4300003052,88.0729980469,87.3119964600,87.4440002441
2018-01-12,87.7529983521,87.8740005493,87.4140014648,87.7590026855
2018-01-15,87.9100036621,88.1650009155,87.6699981689,87.8580017090
2018-01-16,88.0589981079,88.4130020142,87.8899993896,88.0240020752
2018-01-17,87.9479980469,88.4980010986,87.9160003662,87.9850006104
2018-01-18,88.7470016479,88.9789962769,88.4079971313,88.7880020142
2018-01-19,88.8679962158,89.0130004883,88.4000015259,88.8789978027
2018-01-22,88.5400009155,88.9589996338,88.3870010376,88.5630035400
2018-01-23,88.8629989624,89.0530014038,87.9069976807,88.8590011597
2018-01-24,88.1259994507,88.4189987183,87.9020004272,88.1259994507
2018-01-25,87.9919967651,88.3290023804,87.8330001831,87.9909973145
2018-01-26,88.0390014648,88.4150009155,87.8000030518,88.0770034790
2018-01-29,88.1719970703,88.2649993896,87.9199981689,88.1399993896
2018-01-30,88.2160034180,88.2829971313,87.4710006714,88.1780014038
2018-01-31,88.0660018921,88.3990020752,87.6699981689,88.0770034790
2018-02-01,88.0059967041,88.1179962158,87.4950027466,88.0019989014
2018-02-02,87.9359970093,87.9599990845,87.4309997559,87.9420013428
2018-02-05,86.9830017090,87.4960021973,86.9140014648,86.9759979248
2018-02-06,85.8529968262,86.2630004883,85.0049972534,85.9049987793
2018-02-07,86.5100021362,86.5739974976,85.6829986572,86.5390014648
2018-02-08,85.3020019531,85.9570007324,84.8000030518,85.3440017700
2018-02-09,84.5240020752,85.3399963379,84.4089965820,84.5059967041
2018-02-12,85.0609970093,85.2119979858,84.7689971924,85.0770034790
2018-02-13,85.3850021362,85.5820007324,84.3000030518,85.4130020142
2018-02-14,84.7099990845,84.8840026855,83.3499984741,84.7070007324
2018-02-15,84.5139999390,84.7949981689,83.8799972534,84.4970016479
2018-02-16,84.2580032349,84.6520004272,83.9469985962,84.2880020142
2018-02-19,84.0699996948,84.4919967651,84.0699996948,84.0640029907
2018-02-20,84.4110031128,84.7959976196,84.2109985352,84.3919982910
2018-02-21,84.6110000610,84.8470001221,84.2519989014,84.6169967651
2018-02-22,83.9209976196,84.0500030518,83.5309982300,83.8679962158
2018-02-23,83.7419967651,83.8359985352,83.2750015259,83.7279968262
2018-02-26,83.9140014648,84.1149978638,83.6090011597,83.9219970703
2018-02-27,84.0520019531,84.1610031128,83.8099975586,84.0429992676
2018-02-28,83.7080001831,83.7939987183,83.0979995728,83.7160034180
2018-03-01,82.7630004883,83.1419982910,82.3040008545,82.7799987793
2018-03-02,82.4400024414,82.5989990234,81.5640029907,82.4229965210
2018-03-05,81.8639984131,82.2880020142,81.5049972534,81.8509979248
2018-03-06,82.5319976807,83.3030014038,82.1800003052,82.5039978027
2018-03-07,82.2300033569,82.9440002441,82.0650024414,82.1640014648
2018-03-08,83.1060028076,83.1279983521,82.5049972534,83.1050033569
2018-03-09,82.8860015869,83.8960037231,82.8079986572,82.8880004883
2018-03-12,84.0289993286,84.0810012817,83.6689987183,84.0400009155
2018-03-13,83.6959991455,84.5189971924,83.6660003662,83.6480026245
2018-03-14,83.7330017090,84.2490005493,83.4940032959,83.6869964600
2018-03-15,83.6610031128,83.6770019531,82.8130035400,83.6409988403
2018-03-16,82.8089981079,82.8089981079,81.8820037842,82.8010025024
2018-03-19,81.7559967041,81.9990005493,81.2399978638,81.7639999390
2018-03-20,81.7440032959,82.1849975586,81.6129989624,81.6969985962
2018-03-21,81.8759994507,82.0049972534,81.5260009766,81.8629989624
2018-03-22,82.3209991455,82.4179992676,81.0100021362,82.3509979248
2018-03-23,80.7819976807,81.4509963989,80.6959991455,80.7529983521
2018-03-26,80.8320007324,81.4550018311,80.7900009155,80.8259963989
