date,open,high,low,close
2018-01-01,89.5899963379,89.6200027466,88.3190002441,89.5449981689
2018-01-02,89.8130035400,89.9629974365,89.3769989014,89.8089981079
2018-01-03,89.7620010376,89.7979965210,89.5279998779,89.7509994507
2018-01-04,89.7379989624,90.1640014648,89.7379989624,89.7160034180
2018-01-05,90.2910003662,91.5640029907,90.2279968262,90.2699966431
2018-01-08,91.2770004272,91.3669967651,90.8300018311,91.2809982300
2018-01-09,91.1429977417,91.1429977417,90.1350021362,91.1250000000
2018-01-10,90.4010009766,90.4010009766,89.1900024414,90.3850021362
2018-01-11,88.9100036621,89.1250000000,88.6800003052,88.9229965210
2018-01-12,88.8580017090,89.1520004272,88.6470031738,88.8700027466
2018-01-15,89.2060012817,89.2060012817,88.8379974365,89.1500015259
2018-01-16,89.0029983521,89.3079986572,88.8590011597,88.9710006714
2018-01-17,88.7900009155,89.2180023193,88.5530014038,88.8330001831
2018-01-18,89.4649963379,89.5250015259,88.8789978027,89.5370025635
2018-01-19,89.4369964600,89.4759979248,88.7200012207,89.4489974976
2018-01-22,88.6419982910,89.1920013428,88.5999984741,88.6340026855
2018-01-23,89.1070022583,89.2229995728,88.4069976807,89.1019973755
2018-01-24,88.6999969482,88.8889999390,88.2269973755,88.6839981079
2018-01-25,88.5080032349,88.6959991455,88.2450027466,88.4919967651
2018-01-26,88.5650024414,88.8359985352,87.9260025024,88.6149978638
2018-01-29,88.2210006714,88.4619979858,87.9899978638,88.2139968872
2018-01-30,88.3249969482,88.3679962158,87.8000030518,88.2959976196
2018-01-31,88.1569976807,88.9710006714,88.1569976807,88.1320037842
2018-02-01,88.7350006104,89.1760025024,88.7030029297,88.7500000000
2018-02-02,89.2310028076,89.3990020752,88.9860000610,89.2229995728
2018-02-05,88.4820022583,88.6439971924,88.0459976196,88.4929962158
2018-02-06,86.9649963379,87.5429992676,86.3509979248,87.0159988403
2018-02-07,87.6520004272,87.6750030518,87.0049972534,87.6539993286
2018-02-08,86.8249969482,87.3529968262,86.3700027466,86.8750000000
2018-02-09,86.2200012207,86.7610015869,85.8099975586,86.1890029907
2018-02-12,86.4079971313,86.5650024414,86.0039978027,86.4250030518
2018-02-13,86.3619995117,86.4150009155,85.1999969482,86.3899993896
2018-02-14,85.5839996338,85.7279968262,84.6979980469,85.5899963379
2018-02-15,85.3809967041,85.5360031128,84.7779998779,85.3700027466
2018-02-16,84.9769973755,85.1549987793,84.4710006714,85.0019989014
2018-02-19,84.6139984131,84.9629974365,84.6139984131,84.6110000610
2018-02-20,84.9110031128,85.1119995117,84.8000030518,84.8970031738
2018-02-21,84.8779983521,85.2549972534,84.7310028076,84.8949966431
2018-02-22,84.7440032959,84.8310012817,83.9280014038,84.6920013428
2018-02-23,84.0230026245,84.4789962769,83.9769973755,84.0070037842
2018-02-26,84.6370010376,84.6370010376,84.1169967651,84.6449966431
2018-02-27,84.4079971313,84.4779968262,84.0999984741,84.3970031738
2018-02-28,84.1230010986,84.1869964600,83.2009963989,84.1080017090
2018-03-01,83.0790023804,83.5889968872,82.9570007324,83.0820007324
2018-03-02,82.7440032959,82.8720016479,81.7220001221,82.7109985352
2018-03-05,81.9069976807,82.0080032349,81.3880004883,81.8799972534
2018-03-06,81.8779983521,82.5230026245,81.5299987793,81.8489990234
2018-03-07,81.5609970093,82.0970001221,81.5240020752,81.4970016479
2018-03-08,82.2630004883,82.4540023804,81.9089965820,82.2639999390
2018-03-09,82.5009994507,83.4260025024,82.4369964600,82.5009994507
2018-03-12,83.4160003662,83.4850006104,82.9209976196,83.4219970703
2018-03-13,82.7730026245,83.4339981079,82.4560012817,82.7320022583
2018-03-14,82.2249984741,82.4280014038,81.7799987793,82.1600036621
2018-03-15,81.9390029907,81.9660034180,81.1620025635,81.9390029907
2018-03-16,81.4359970093,81.4359970093,80.6819992065,81.4359970093
2018-03-19,80.9189987183,81.3889999390,80.5400009155,80.9319992065
2018-03-20,81.0559997559,81.5859985352,81.0049972534,81.0169982910
2018-03-21,81.4380035400,82.0520019531,81.4000015259,81.4260025024
2018-03-22,82.1070022583,82.3700027466,81.4629974365,82.1289978027
2018-03-23,81.1770019531,82.0439987183,81.0559997559,81.1640014648
2018-03-26,81.3870010376,81.8560028076,81.3069992065,81.3980026245
2018-03-27,82.2200012207,82.4270019531,82.0189971924,82.1809997559
2018-03-28,81.9130020142,82.5279998779,81.6999969482,81.9010009766
2018-03-29,82.6660003662,82.7149963379,82.3199996948,82.6709976196
2018-03-30,82.5930023193,82.6279983521,82.3089981079,82.5979995728
2018-04-02,82.4469985962,82.6660003662,81.9550018311,82.4520034790
2018-04-03,81.8809967041,83.3280029297,81.8619995117,81.8669967651
2018-04-04,83.0970001221,83.3669967651,82.5780029297,83.1009979248
2018-04-05,83.7060012817,84.1269989014,83.5960006714,83.7060012817
2018-04-06,83.8479995728,84.2180023193,83.7369995117,83.8270034790
2018-04-09,83.6510009766,84.3010025024,83.5879974365,83.6880035400
2018-04-10,84.0009994507,85.1360015869,83.9339981079,84.0289993286
2018-04-11,85.0410003662,85.0989990234,84.5830001831,85.0469970703
2018-04-12,84.9729995728,85.2929992676,84.7070007324,84.9909973145
2018-04-13,85.2180023193,85.7470016479,85.1800003052,85.1640014648
2018-04-16,85.2829971313,85.3099975586,84.9100036621,85.2900009155
2018-04-17,85.1460037231,85.4039993286,85.0619964600,85.1600036621
2018-04-18,85.2180023193,85.4319992065,84.7959976196,85.2030029297
2018-04-19,85.0220031738,85.2809982300,84.9779968262,85.0019989014
2018-04-20,84.8209991455,85.1529998779,84.4189987183,84.8229980469
2018-04-23,84.4430007935,84.6699981689,84.3850021362,84.4789962769
2018-04-24,84.6679992676,85.1529998779,84.5749969482,84.6589965820
2018-04-25,84.8420028687,84.9869995117,84.6640014648,84.8300018311
2018-04-26,85.1930007935,85.2939987183,84.8690032959,85.1880035400
2018-04-27,84.9270019531,85.0260009766,84.7699966431,84.9209976196
2018-04-30,84.9400024414,85.3789978027,84.8899993896,84.9479980469
2018-05-01,85.1699981689,85.4229965210,84.9980010986,85.1780014038
2018-05-02,85.5070037842,85.7289962769,85.3199996948,85.5230026245
2018-05-03,85.2480010986,85.4280014038,84.4810028076,85.2300033569
2018-05-04,84.9140014648,85.0080032349,84.3700027466,84.8909988403
2018-05-07,84.8880004883,84.9899978638,84.5970001221,84.8909988403
