date,open,high,low,close
2018-01-01,0.8883000016,0.8909000158,0.8876000047,0.8881000280
2018-01-02,0.8888700008,0.8915500045,0.8861700296,0.8889200091
2018-01-03,0.8872299790,0.8899300098,0.8848900199,0.8871999979
2018-01-04,0.8888999820,0.8922200203,0.8880000114,0.8888400197
2018-01-05,0.8903899789,0.8907099962,0.8867999911,0.8902999759
2018-01-08,0.8865699768,0.8875200152,0.8816099763,0.8866199851
2018-01-09,0.8820300102,0.8832799792,0.8806999922,0.8820499778
2018-01-10,0.8816000223,0.8872200251,0.8812999725,0.8815500140
2018-01-11,0.8847000003,0.8911799788,0.8846600056,0.8847699761
2018-01-12,0.8891999722,0.8923299909,0.8860200047,0.8891900182
2018-01-15,0.8879100084,0.8909100294,0.8872699738,0.8877900243
2018-01-16,0.8892999887,0.8898100257,0.8862500191,0.8890600204
2018-01-17,0.8892999887,0.8905699849,0.8840699792,0.8892800212
2018-01-18,0.8810399771,0.8836200237,0.8802700043,0.8810899854
2018-01-19,0.8805900216,0.8845999837,0.8805000186,0.8807299733
2018-01-22,0.8823800087,0.8825299740,0.8769699931,0.8821899891
2018-01-23,0.8764200211,0.8794999719,0.8761000037,0.8765000105
2018-01-24,0.8784300089,0.8786799908,0.8700100183,0.8783699870
2018-01-25,0.8714500070,0.8760899901,0.8689299822,0.8713999987
2018-01-26,0.8755999804,0.8777499795,0.8727099895,0.8757200241
2018-01-29,0.8783100247,0.8814100027,0.8767600060,0.8783100247
2018-01-30,0.8798000216,0.8831999898,0.8772299886,0.8796200156
2018-01-31,0.8766899705,0.8814399838,0.8751000166,0.8765799999
2018-02-01,0.8744000196,0.8770999908,0.8718500137,0.8743000031
2018-02-02,0.8769900203,0.8818500042,0.8756899834,0.8768100142
2018-02-05,0.8820000291,0.8869799972,0.8813599944,0.8820199966
2018-02-06,0.8872100115,0.8908100128,0.8855400085,0.8869299889
2018-02-07,0.8869400024,0.8897299767,0.8838999867,0.8870300055
2018-02-08,0.8838800192,0.8841000199,0.8734700084,0.8839499950
2018-02-09,0.8798900247,0.8878499866,0.8777999878,0.8797799945
2018-02-12,0.8861799836,0.8889799714,0.8845000267,0.8861600161
2018-02-13,0.8881999850,0.8903200030,0.8858100176,0.8881000280
2018-02-14,0.8896099925,0.8917700052,0.8875399828,0.8896999955
2018-02-15,0.8895099759,0.8901299834,0.8859000206,0.8894799948
2018-02-16,0.8866500258,0.8888099790,0.8849999905,0.8864899874
2018-02-19,0.8845000267,0.8867099881,0.8844000101,0.8845099807
2018-02-20,0.8860700130,0.8867400289,0.8806099892,0.8860599995
2018-02-21,0.8810999990,0.8854399920,0.8806300163,0.8809700012
2018-02-22,0.8827900290,0.8862699866,0.8822000027,0.8828600049
2018-02-23,0.8834599853,0.8835899830,0.8786900043,0.8834000230
2018-02-26,0.8796100020,0.8822299838,0.8770800233,0.8796100020
2018-02-27,0.8819699883,0.8842300177,0.8801100254,0.8817399740
2018-02-28,0.8790299892,0.8856199980,0.8779399991,0.8793900013
2018-03-01,0.8863700032,0.8886299729,0.8837599754,0.8863000274
2018-03-02,0.8907499909,0.8949699998,0.8895999789,0.8907099962
2018-03-05,0.8928999901,0.8938999772,0.8886399865,0.8927999735
2018-03-06,0.8907700181,0.8943300247,0.8906000257,0.8906000257
2018-03-07,0.8934199810,0.8967000246,0.8919199705,0.8932499886
2018-03-08,0.8926399946,0.8956000209,0.8905000091,0.8927000165
2018-03-09,0.8916299939,0.8925099969,0.8877400160,0.8914300203
2018-03-12,0.8882899880,0.8895499706,0.8849300146,0.8883500099
2018-03-13,0.8872500062,0.8885999918,0.8852400184,0.8871999979
2018-03-14,0.8868799806,0.8878300190,0.8845000267,0.8870400190
2018-03-15,0.8857700229,0.8872900009,0.8823000193,0.8857399821
2018-03-16,0.8828999996,0.8838599920,0.8812900186,0.8827999830
2018-03-19,0.8806999922,0.8815400004,0.8744999766,0.8806999922
2018-03-20,0.8795800209,0.8798999786,0.8757500052,0.8795999885
2018-03-21,0.8745899796,0.8758299947,0.8721699715,0.8745999932
2018-03-22,0.8729100227,0.8739500046,0.8678600192,0.8729500175
2018-03-23,0.8732399940,0.8752400279,0.8710500002,0.8732100129
2018-03-26,0.8730000257,0.8761799932,0.8716999888,0.8731899858
2018-03-27,0.8747900128,0.8796399832,0.8744999766,0.8748999834
2018-03-28,0.8752999902,0.8767200112,0.8734200001,0.8751999736
2018-03-29,0.8742700219,0.8769400120,0.8740599751,0.8742499948
2018-03-30,0.8769999743,0.8784300089,0.8766599894,0.8768600225
2018-04-02,0.8771899939,0.8776299953,0.8751999736,0.8771499991
2018-04-03,0.8751199841,0.8762000203,0.8713999987,0.8750900030
2018-04-04,0.8726300001,0.8757399917,0.8713999987,0.8727300167
2018-04-05,0.8719999790,0.8748900294,0.8716099858,0.8720999956
2018-04-06,0.8745399714,0.8748900294,0.8701900244,0.8744999766
2018-04-09,0.8708800077,0.8719400167,0.8697999716,0.8707799911
2018-04-10,0.8717899919,0.8726999760,0.8692700267,0.8717300296
2018-04-11,0.8718000054,0.8739200234,0.8701000214,0.8716999888
2018-04-12,0.8720200062,0.8727200031,0.8646199703,0.8719699979
2018-04-13,0.8658000231,0.8663200140,0.8628100157,0.8660100102
2018-04-16,0.8656499982,0.8668100238,0.8627600074,0.8654900193
2018-04-17,0.8635100126,0.8646500111,0.8619999886,0.8635299802
2018-04-18,0.8653399944,0.8720700145,0.8643800020,0.8654299974
2018-04-19,0.8715199828,0.8733000159,0.8689000010,0.8715100288
2018-04-20,0.8763999939,0.8789200187,0.8733999729,0.8764200211
2018-04-23,0.8764299750,0.8774200082,0.8744900227,0.8763700128
2018-04-24,0.8760399818,0.8766099811,0.8738999963,0.8758900166
2018-04-25,0.8743000031,0.8751000166,0.8730000257,0.8743000031
2018-04-26,0.8732900023,0.8750000000,0.8681600094,0.8731999993
2018-04-27,0.8699200153,0.8786299825,0.8683599830,0.8699300289
2018-04-30,0.8803200126,0.8822500110,0.8767300248,0.8801000118
