date,open,high,low,close
2018-01-01,152.2500000000,152.2500000000,151.7700042725,152.2500000000
2018-01-02,152.3410034180,152.5169982910,151.8930053711,152.3489990234
2018-01-03,152.5959930420,152.8099975586,151.7500000000,152.5910034180
2018-01-04,152.1100006104,152.9510040283,152.1100006104,152.1360015869
2018-01-05,152.8300018311,153.6139984131,152.8099975586,152.8339996338
2018-01-08,153.5700073242,153.6629943848,152.8829956055,153.6049957275
2018-01-09,153.5670013428,153.5670013428,151.9609985352,153.5160064697
2018-01-10,152.5839996338,152.5839996338,150.5440063477,152.5700073242
2018-01-11,150.5559997559,150.9839935303,150.2019958496,150.5760040283
2018-01-12,150.6840057373,152.5970001221,150.5970001221,150.6970062256
2018-01-15,152.6390075684,152.7929992676,151.9309997559,152.5399932861
2018-01-16,152.5820007324,153.0930023193,152.0489959717,152.5709991455
2018-01-17,152.2400054932,153.3739929199,152.1860046387,152.3029937744
2018-01-18,153.9219970703,154.5630035400,153.6212005615,153.9819946289
2018-01-19,154.1909942627,154.3359985352,153.1060028076,154.2350006104
2018-01-22,153.7400054932,154.9629974365,153.4880065918,153.7440032959
2018-01-23,155.1799926758,155.3619995117,153.7359924316,155.1620025635
2018-01-24,154.2980041504,155.6069946289,154.1100006104,154.2920074463
2018-01-25,155.4470062256,156.0630035400,155.0370025635,155.4470062256
2018-01-26,155.1499938965,155.8119964600,153.4570007324,155.2299957275
2018-01-29,153.7180023193,154.0070037842,152.8430023193,153.7050018311
2018-01-30,153.3170013428,153.8079986572,152.0099945068,153.2989959717
2018-01-31,153.9120025635,155.2890014648,153.5950012207,153.9069976807
2018-02-01,155.0260009766,156.4219970703,154.9739990234,155.0540008545
2018-02-02,156.0559997559,156.5959930420,155.7299957275,156.0769958496
2018-02-05,155.2460021973,155.3970031738,153.9750061035,155.2579956055
2018-02-06,151.9420013428,152.8529968262,151.2239990234,152.1109924316
2018-02-07,153.0030059814,153.0099945068,151.3430023193,152.9859924316
2018-02-08,151.4570007324,154.0059967041,151.4570007324,151.5379943848
2018-02-09,151.2630004883,152.7440032959,149.5180053711,151.2350006104
2018-02-12,150.3990020752,150.7940063477,149.6799926758,150.3999938965
2018-02-13,150.4750061035,150.5299987793,148.9960021973,150.5330047607
2018-02-14,149.6119995117,149.8370056152,147.9859924316,149.6000061035
2018-02-15,149.3750000000,150.1670074463,149.0290069580,149.3679962158
2018-02-16,149.5919952393,149.9429931641,148.8229980469,149.6529998779
2018-02-19,149.1000061035,149.4559936523,148.8999938965,149.0700073242
2018-02-20,149.3249969482,150.3500061035,149.1060028076,149.2989959717
2018-02-21,150.2989959717,150.9100036621,149.4750061035,150.3260040283
2018-02-22,149.7050018311,149.7740020752,148.5359954834,149.5959930420
2018-02-23,149.0489959717,149.5079956055,148.8329925537,149.0189971924
2018-02-26,149.5319976807,149.9980010986,148.9960021973,149.5559997559
2018-02-27,149.4900054932,149.7790069580,148.8639984131,149.5299987793
2018-02-28,149.3939971924,149.5070037842,146.9530029297,149.3869934082
2018-03-01,146.6589965820,147.4309997559,146.4830017090,146.6660003662
2018-03-02,146.2480010986,146.4290008545,145.0180053711,146.2369995117
2018-03-05,145.6139984131,146.9600067139,145.0899963379,145.5930023193
2018-03-06,147.1589965820,147.9929962158,146.5509948730,147.1399993896
2018-03-07,146.7830047607,147.4720001221,146.2579956055,146.6719970703
2018-03-08,147.6119995117,147.6329956055,146.5220031738,147.6329956055
2018-03-09,146.8500061035,148.5330047607,146.8029937744,146.8699951172
2018-03-12,148.0959930420,148.2019958496,147.4190063477,148.0980072021
2018-03-13,147.8260040283,149.3439941406,147.7799987793,147.7700042725
2018-03-14,148.8609924316,149.1369934082,147.7830047607,148.7400054932
2018-03-15,148.2969970703,148.4179992676,147.4830017090,148.3079986572
2018-03-16,148.1770019531,148.1770019531,147.2619934082,148.1629943848
2018-03-19,147.7519989014,149.6690063477,147.0440063477,147.7610015869
2018-03-20,148.6979980469,149.7570037842,148.6450042725,148.6529998779
2018-03-21,149.1040039062,149.6219940186,148.9620056152,149.0700073242
2018-03-22,149.7799987793,149.9700012207,148.3130035400,149.8220062256
2018-03-23,148.1490020752,148.9459991455,147.7310028076,148.1300048828
2018-03-26,148.3179931641,149.6049957275,148.2400054932,148.3390045166
2018-03-27,150.2489929199,150.4810028076,148.9680023193,150.2050018311
2018-03-28,149.5670013428,150.3840026855,149.1399993896,149.4940032959
2018-03-29,150.3849945068,150.4040069580,149.0410003662,150.3670043945
2018-03-30,149.3040008545,149.3549957275,148.8430023193,149.3300018311
2018-04-02,149.2039947510,149.6609954834,148.6869964600,149.2350006104
2018-04-03,148.6100006104,149.8600006104,148.4940032959,148.5970001221
2018-04-04,149.7440032959,150.1490020752,148.8289947510,149.7270050049
2018-04-05,150.4219970703,150.6799926758,150.0370025635,150.4190063477
2018-04-06,149.9889984131,151.1840057373,149.9259948730,149.9429931641
2018-04-09,150.6840057373,151.4779968262,150.5980072021,150.7200012207
2018-04-10,150.8240051270,152.1179962158,150.7200012207,150.8789978027
